Name,Term,Prerequisites,Corequisites,Credits,Passrate
ENGR 100G,1,,MATH 121G,3,
E T 154,1,,,3,
PHYS 211G+L,1,,,4,
MATH 235,1,MATH 190G,,4,
Area IV,1,,,3,
ENGL 111G,2,,,4,
MATH 236,2,MATH 235,,4,
E T 240,2,,MATH 235,3,
E T 254,2,,,3,
Area V,2,,,3,
DRFT 109,3,,,3,
SUR 222,3,MATH 190G,,3,
ENGL 218G,3,ENGL 111G,,3,
COMM 265G,3,,,3,
Area VI,3,,,3,
E T 308+L,4,"MATH 235, E T 240",,4,
E T 190,4,,MATH 190G,4,
CHEM 110G,4,,,4,
Elective,4,,,3,
E T 310+L,5,"MATH 235, E T 240",MATH 236,4,
DRFT 143,5,DRFT 109,,3,
E T 354,5,E T 254,E T 310+L,4,
E T 241,5,,,3,
E T 332,6,"MATH 236, E T 310+L",,4,
E T 355,6,DRFT 143,,3,
Geomatics/Surveying Elective,6,,,3,
Technical Elective,6,,,3,
VWW,6,,,3,
E T 432,7,E T 332,,4,
I E 451,7,,,3,
A ST 311,7,MATH 120,,3,
Technical Elective,7,,,3,
VWW,7,,,3,
E T 418,8,E T 308+L,,3,
E T 412,8,E T 354,,3,
E T 410,8,,,1,
E T 420,8,,,3,
Technical Elective,8,,,3,
