Name,Term,Prerequisites,Corequisites,Credits,Passrate
ENGL 111G,1,,,4,
MATH 190G,1,MATH 121G,,4,
GEOL 111G,1,,,4,
Area IV,1,,,3,
CHEM 111G,2,MATH 120,,4,
MATH 191G,2,MATH 190G,,4,
COMM 265G,2,,,3,
Area VI,2,,,3,
Elective,2,,,1,
GEOL 1150,3,GEOL 111G,,3,
GEOL 305V,3,,,3,
CHEM 112G,3,CHEM 111G,,4,
MATH 192G,3,MATH 191G,,4,
ENGL 218G,3,ENGL 111G,,3,
GEOL 312,4,"GEOL 111G, GEOL 1150",,3,
GEOL 420,4,GEOL 310,,3,
"Choose 1/10 (GEOG, C S, STAT)",4,,,3,
Area V,4,,,3,
Elective,4,,,2,
GEOL 470,5,GEOL 310,,3,
GEOL 360,5,CHEM 111G,,3,
PHYS 211G+L,5,,,4,
UD Geology Elective,5,,,3,
Elective,5,,,2,
GEOL 399,6,GEOL 312,,3,
PHYS 212G+L,6,PHYS 211G+L,,4,
UD Geology Elective,6,,,3,
VWW,6,,,3,
Elective,6,,,2,
VWW,7,,,3,
UD Geology Elective,7,,,3,
UD Geology Elective,7,,,3,
Elective,7,,,2,
2nd Language 1,7,,,4,
GEOL 490,8,"GEOL 420, GEOL 470",,3,
GEOL 491,8,"GEOL 111G, GEOL 399, GEOL 420, GEOL 470",,3,
GEOL 449,8,,,1,
2nd Language 2,8,2nd Language 1,,4,
Elective,8,,,2,
GEOL 495,9,GEOL 490,,4,
