Name,Term,Prerequisites,Corequisites,Credits,Passrate
ENGR 100G,1,,MATH 121G,3,
ENGL 111G,1,,,4,
MATH 191G,1,MATH 190G,,4,
CHEM 111G,1,MATH 120,,4,
MATH 192G,2,MATH 191G,,4,
PHYS 215G+L,2,MATH 191G,,4,
I E 151,2,MATH 121G,,3,
ENGR 110,2,,,3,
Area V,2,,,3,
CHEM II or PHYS II,3,CHEM 111G,,4,
MATH 291G,3,MATH 192G,,3,
ENGR 233,3,MATH 192G,PHYS 215G+L,3,
ENGL 218G,3,ENGL 111G,,3,
Area VI,3,,,3,
ECON 251G or 252G,4,,,3,
CHME 361,4,"CHEM 111G, MATH 190G",,3,
I E 311,4,MATH 192G,,3,
I E 217,4,"MATH 121G, E T 110",I E 217L,2,
I E 217 L,4,,,1,
COMM 265G,4,,,3,
MATH 392,5,MATH 192G,,3,
I E 316,5,"I E 217, I E 311, E T 110",,3,
I E 351,5,I E 311,,3,
I E 365,5,I E 311,,3,
Engineering Elective,5,,,3,
I E 423,6,I E 311,MATH 392,3,
I E 424,6,I E 311,,3,
I E 451,6,,,3,
I E 460,6,I E 311,,3,
MATH 280 or MATH 480,6,,,3,
I E 413,7,MATH 192G,MATH 280 or MATH 480,3,
I E 467,7,I E 311,,3,
ENGR 401,7,,,3,
BIOL 211G or GEOL 111G or PHYS 217,7,,,4,
VWW,7,,,3,
I E 478,8,I E 316,I E 424,3,
Engineering Elective,8,,,3,
ENGR 402,8,ENGR 401,,3,
VWW,8,,,3,
