Curriculum,BSME-Mechanical Engineering,,,,,,,,
Institution,USF,,,,,,,,
Degree Type,BS,,,,,,,,
System Type,semester,,,,,,,,
CIP,14.1901,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
24950,Engineering Calculus I,MAC,2281,,,,4,,
25478,General Chemistry I ,CHM,2045,,,,3,,
23525,Composition I,ENC,1101,,,,3,,
25479,General Chemistry I Laboratory,CHM,2045L,,,25478,1,,
23287,Foundations of Engineering Lab,EGN,3000L,,,,3,,
28172,Foundations of Engineering,EGN,3000,,,,0,,
24951,Engineering Calculus II,MAC,2282,24950,,,4,,
23526,Composition II,ENC,1102,23525,,,3,,
26014,General Physics I - Calculus Based,PHY,2048,24950,,,3,,
26015,General Physics I Laboratory,PHY,2048L,24950,,26014,1,,
4,State Humanities Gen Ed,SGEH,,,,,3,,
24952,Engineering Calculus III,MAC,2283,24951,,,4,,
24859,Engineering Economics with Social and Global Implications,EGN,3615,,,,3,,
26016,General Physics II - Calculus Based,PHY,2049,24951;26014;26015,,,3,,
23719,Statics,EGN,3311,26014,,,3,,
26017,General Physics II Laboratory,PHY,2049L,24951;26014;26015,,26016,1,,
23720,Dynamics,EGN,3321,23719,,,3,,
26932,Mechanics of Solids,EML,3500,23719,,,3,,
23724,Thermodynamics I,EGN,3343,26014;26016;24952,,,3,,
6,State Social Science Gen Ed,SGES,,,,,3,,
24959,Differential Equations,MAP,2302,24952,,,3,,
28393,Computer Aided Design and Engineering,EML,3022,,,,3,,
26877,Programming Concepts for Mechanical Engineers,EML,3035,24950;26014,,,2,,
25980,Materials Engineering I,EGN,3365,25478,,23719,3,,
25983,Probability and Statistics for Engineers,EGN,3443,24951,,,3,,
27719,Communication for Engineers,ENC,3246,,,,3,,
26934,Computational Methods,EML,3041,24959;26877;23724;26932,,,3,,
26930,Kinematics and Dynamics of Machinery,EML,3262,23720;28393;23724;26932,,,3,,
26933,Fluid Systems,EML,3701,23720;23724;26932,,,3,,
24433,Mechanical Manufacturing Processes,EML,4325,25980;23724;26932,,,3,,
25981,Introduction to Electrical Systems I,EGN,3373,,24959,,3,,
26940,Machine Design,EML,4501,26932;28393;26930,,,3,,
26931,Mechanical Engineering Lab I,EML,3303,25983,,26933;26932,3,,
26935,Thermal Systems and Economics,EML,4106C,23724;26932,,,3,,
8,Ethical Reasoning and Civic Engagement,TGEE,,,,,3,,
9,Internship/Co-op Participation,,,,,,0,,
26937,Mechanical Engineering Laboratory II,EML,4302,26931,,,3,,
26381,Heat Transfer,EML,4123,26933;26934,,,3,,
26936,Vibrations,EML,4220,26930;26934,,,3,,
10,Major Upper-Level Department Elective,,,,,,3,,
11,Major Upper-Level Department Elective,,,,,,3,,
26941,Capstone Design,EML,4551,26940;26935;26933,,,3,,
26938,Mechanical Controls,EML,4312,23720;25981,,,3,,
13,Major Upper-Level Department Elective,,,,,,3,,
14,Major Upper-Level Department Elective,,,,,,3,,
15,Upper Level Elective,,,,,,3,,
