Curriculum,Animal Science,,,,,,,,,
Degree Plan,4-Year Plan,,,,,,,,,
Institution,Oklahoma State,,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,26.0101,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,ENGL 1113,,,,,,3,,,1
2,MATH 1513,,,,,,3,,,1
3,BIOL 1114,,,,,,4,,,1
4,ANSI 1124,,,,,,4,,,1
5,AG 1011,,,,,,1,,,1
6,ENGL 1213,,,1,,,3,,,2
7,CHEM 1314,,,2,,,4,,,2
8,ANSI 2233,,,,,,3,,,2
9,STAT 2013,,,2,,,3,,,2
10,POLS 1113,,,,,,3,,,2
11,CHEM 1515,,,7,,,5,,,3
12,PLNT 1213,,,,,,3,,,3
13,AGEC 1113,,,,,,3,,,3
14,HIST 1103,,,,,,3,,,3
15,Humanities,,,,,,3,,,3
16,ANSI 2111,,,,,,1,,,3
17,ANSI 3543,,,3,,,3,,,4
18,ANSI 3423,,,3,,,3,,,4
19,AGCM 3203,,,,,,3,,,4
20,CHEM 3015,,,11,,,5,,,4
21,Humanities & Diversity,,,,,,3,,,4
22,AGCM 3103,,,6,,,3,,,5
23,MICR 2123,,,7;3,,,3,,,5
24,MICR 2132,,,,23,,2,,,5
25,ANSI 3903,,,,,,3,,,5
26,PHYS 1114,,,2,,,4,,,5
27,ANSI 3653,,,17,,,3,,,5
28,BIOC 3653,,,20,,,3,,,6
29,PHYS 1214,,,26,,,4,,,6
30,ANSI 3414,,,4;3,,,4,,,6
31,ANSI 3623,,,4,,,3,,,6
32,ANSI 3443,,,3,,,3,,,6
33,ANSI 4--3,,,,,,3,,,7
34,ANSI 3433,,,18,,,3,,,7
35,ANSI 4863,,,,,,3,,,7
36,ANSI 4843,,,28;18,,,3,,,8
37,MICR 3033,,,23;11;24,,,3,,,8
38,Related upper division courses,,,,,,4,,,8
