Curriculum,Animal Veterinary Science (Production),,,,,,,,,
Degree Plan,4-Year Plan,,,,,,,,,
Institution,University of Idaho,,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,26.0101,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,AVS 109,,,,,,4,,,1
2,ENGL 101,,,,,,3,,,1
3,ISEM 101,,,,,,3,,,1
4,MATH 143,,,,,,3,,,1
5,REM 151,,,,,,3,,,1
6,AVS 110,,,1,,,3,,,2
7,AVS 110L,,,1,6,,1,,,2
8,BIOL 115,,,,10;11,,3,,,2
9,BIOL 115L,,,,8,,1,,,2
10,CHEM 101,,,,,,3,,,2
11,CHEM 101L,,,,10,,1,,,2
12,ENGL 102,,,2,,,3,,,2
13,AGEC 278,,,,,,4,,,3
14,AVS 330,,,1,,,3,,,3
15,ECON 202,,,,,,3,,,3
16,ELECTIVE,,,,,,3,,,3
17,STAT 251,,,4,,,3,,,3
18,AGEC 289,,,,,,3,,,4
19,AVS 222,,,,,,3,,,4
20,CHEM 275,,,10;11,,,3,,,4
21,EPPN 154,,,,,,3,,,4
22,EPPN 155,,,,21,,1,,,4
23,HUMANITIES GEN ED,,,,,,3,,,4
24,AVS 305,,,1,,,4,,,5
25,AVS 371,,,9;8,,,3,,,5
26,AVS 373,,,9;8;1,25,,1,,,5
27,ENGL 317,,,12,,,3,,,5
28,HUMANITIES GEN ED,,,,,,3,,,5
29,AVS 306,,,,,,4,,,6
30,AVS 363,,,,,,4,,,6
31,COMM 101,,,,,,2,,,6
32,INTERNATIONAL GEN ED,,,,,,3,,,6
33,ISEM 301,,,12,,,1,,,6
34,SOCIAL SCIENCE GEN ED,,,,,,3,,,6
35,AMERICAN DIVERSITY GEN ED,,,,,,3,,,7
36,AVS 450,,,,,,2,,,7
37,AVS 452,,,9;8;1,,,4,,,7
38,AVS 472,,,1,24,,3,,,7
39,ELECTIVE,,,,,,3,,,7
40,AVS 411,,,,,,3,,,8
41,AVS 471,,,,,,3,,,8
42,AVS 474,,,1,24,,3,,,8
43,ELECTIVE,,,,,,3,,,8
44,ELECTIVE,,,,,,3,,,8
