Curriculum,Psychology (BA),,,,,,,,,
Degree Plan,4-Year Plan,,,,,,,,,
Institution,University of Idaho,,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,26.0101,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,Foreign Language,,,,,,4,,,1
2,ENGL 101,,,,,,3,,,1
3,ISEM 101,,,,,,3,,,1
4,Mathematical Ways of Knowing Course,,,,,,3,,,1
5,PSYC 101,,,,,,3,,,1
6,Foreign Language,,,,,,4,,,2
7,STAT 251,,,,,,3,,,2
8,COMM 101,,,,,,2,,,2
9,ENGL 102,,,2,,,3,,,2
10,PSYC 201,,,5,,,1,,,2
11,Scientific Ways of Knowing Course,,,,,,4,,,2
12,Foreign Language,,,,,,4,,,3
13,PSYC 305,,,5,,,3,,,3
14,Humanistic and Artistic Ways of Knowing Course,,,,,,3,,,3
15,PSYC 218,,,7;5,,,4,,,3
16,Social and Behavioral Ways of Knowing Course,,,,,,3,,,3
17,Foreign Language,,,,,,4,,,4
18,PSYC 310,,,5,,,3,,,4
19,PSYC 325,,,5,,,3,,,4
20,Humanistic and Artistic Ways of Knowing Course,,,,,,3,,,4
21,ISEM 301,,,9,,,1,,,4
22,PSYC 372,,,5,,,3,,,5
23,American Diversity Course,,,,,,3,,,5
24,Elective Course,,,,,,3,,,5
25,Major Elective Course,,,,,,3,,,5
26,Major Elective Course,,,,,,3,,,5
27,PSYC 311,,,5,,,3,,,6
28,B.A. Course Requirement,,,,,,3,,,6
29,International Course,,,,,,3,,,6
30,Major Elective Course,,,,,,3,,,6
31,Scientific Ways of Knowing Course,,,,,,4,,,6
32,PSYC 390,,,5,,,3,,,7
33,B.A. Course Requirement,,,,,,3,,,7
34,Elective Course,,,,,,3,,,7
35,Elective Course,,,,,,3,,,7
36,PSYC 415,,,5,,,3,,,7
37,B.A. Course Requirement,,,,,,3,,,8
38,B.A. Course Requirement,,,,,,3,,,8
39,Elective Course,,,,,,3,,,8
40,Major Elective Course,,,,,,3,,,8
