Curriculum,Computer Science,,,,,,,,,
Degree Plan,4-Year Plan,,,,,,,,,
Institution,Rutgers University,,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,11.0701,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,Calculus I,640,151,,,,4,,,1
2,Introduction to Computer Science,198,111,,,,4,,,1
3,SAS signature course or other general elective,,,,,,3,,,1
4,General Elective,,,,,,3,,,1
5,Byrne seminar or First-year Interest Group seminar,,,,,,1,,,1
6,Calculus II,640,152,1,,,4,,,2
7,Data Structures,198,112,2;1,,,4,,,2
8,General elective,,,,,,3,,,2
9,General Elective,,,,,,3,,,2
10,Byrne Seminar,,,,,,1,,,2
11,Discrete Structures I,198,205,2;6,,,4,,,3
12,Computer Architecture,198,211,7,,,4,,,3
13,Linear Algebra,640,250,6,,,3,,,3
14,General Elective,,,,,,4,,,3
15,Discrete Structures II,198,206,11;6,,,4,,,4
16,CS elective I,,,,,,4,,,4
17,General Elective,,,,,,4,,,4
18,General Elective,,,,,,3,,,4
19,Design and Analysis of Algorithms,198,344,7;15,,,4,,,5
20,CS elective II,,,,,,4,,,5
21,General Elective,,,,,,4,,,5
22,General Elective,,,,,,3,,,5
23,CS elective III,,,,,,4,,,6
24,CS elevtive IV,,,,,,4,,,6
25,General Elective,,,,,,4,,,6
26,General Elective,,,,,,3,,,6
27,CS elective V,,,,,,4,,,7
28,CS elective VI,,,,,,4,,,7
29,General Elective,,,,,,4,,,7
30,General Elective,,,,,,3,,,7
31,CS elective VII,,,,,,4,,,8
32,General Elective,,,,,,4,,,8
33,General Elective,,,,,,4,,,8
34,General Elective,,,,,,3,,,8
