Curriculum,Computer Science,,,,,,,,
Institution,University of Nevada Las Vegas,,,,,,,,
Degree Type,BS,,,,,,,,
System Type,semester,,,,,,,,
CIP,11.0701,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,Composition I,ENG,101,,,,3,,
2,Calculus I,MATH,181,,,,4,,
3,Oral Communication,COM,101,,,,3,,
4,Computer Science I,CS,135,,,,3,,
5,First year Seminar,EGG,101,,,,3,,
6,Composition II,ENG,102,1,,,3,,
7,Calculus II,MATH,182,2,,,4,,
8, Digital Logic Design I,PHIL,114,,,,3,,
9,Computer Science II,CS,202,4,,,3,,
10,Digital Logic Design I,CPE,100,2,,,4,,
11,Constitution Requirement,,,,,,4,,
12,Discrete Mathematics I,MATH,251,7,,,3,,
13,General Education Requirement,,,,,,3,,
14,Introduction to Systems Programming,CS,218,10;4,,,3,,
15,Sophmore Seminar,,,,,,3,,
16,Fine Arts Elective,,,,,,3,,
17,Computational Linear Algebra,MATH,365,7;4,,,3,,
18,Computer Organization,CS,219,9;14,,,3,,
19,Data Structures,CS,302,9;14,,,3,,
20,Fundamentals of Technical Writing,ENG,407B,,,,3,,
21,Lab Science Elective,,,,,,4,,
22,Social Implications of Computer Technology,CS,301,14;3,,,1,,
23,"Programming Languages, Concepts and Implementation",CS,326,19;18,,,3,,
24,Operating Systems,CS,370,19;18,,,3,,
25,Discrete Mathematics II,MATH,351,12,,,3,,
26,Lab Science Elective,,,,,,4,,
27,Automata and Formal Languages,CS,456,19;25,,,3,,
28,CS 400+ Level Elective,,,,,,3,,
29,Statistical Methods I,STAT,411,7,,,3,,
30,Advanced Logic,PHIL,422,8,,,3,,
31,General Education Requirement,,,,,,3,,
32,Compiler Construction,CS,460,23;27,,,3,,
33,CS 400+ Level Elective,,,,,,3,,
34,CS 400+ Level Elective,,,,,,3,,
35,Free Elective,,,,,,3,,
36,General Education Requirement,,,,,,3,,
37,Analysis of Algorithms,CS,477,19;25,,,3,,
38,Software Product Design and Development I,CS,472,23;24,,,3,,
39,CS 400+ Level Elective,,,,,,3,,
