Curriculum,Computer Science,,,,,,,,
Institution,University of Nebraska-Omaha,,,,,,,,
Degree Type,BS,,,,,,,,
System Type,,,,,,,,,
CIP,11.0701,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,INTRODUCTION TO COMPUTER SCIENCE I,CIST,1400,41,,,3,,
2,INTRODUCTION TO COMPUTER SCIENCE II,CSCI,1620,1;8,,,3,,
3,INTRODUCTION TO C PROGRAMMING,CSCI,2240,2,,,3,,
5,"ORGANIZATIONS, APPLICATIONS AND TECHNOLOGYÊ2",CIST,2100,,,,3,,
6,INTRODUCTION TO APPLIED STATISTICS FOR IS&T,CIST,2500,10,,,3,,
7,INFORMATION TECHNOLOGY ETHICSÊ,CIST,3110,,,,3,,
8,CALCULUS I,MATH,1950,,,,5,,
9,CALCULUS II,MATH,1960,8,,,5,,
10,MATHEMATICAL FOUNDATIONS OF COMPUTER SCIENCE,CSCI,2030,1;8,,,3,,
11,APPLIED LINEAR ALGEBRA,MATH,2050,8,,,3,,
12,DATA STRUCTURES,CSCI,3320,2;10,,,3,,
13,COMMUNICATION NETWORKS,CSCI,3550,12,,,3,,
14,THEORY OF COMPUTATION,CSCI,3660,12,,,3,,
15,INTRODUCTION TO DIGITAL DESIGN AND COMPUTER ORGANIZATION,CSCI,3710,12,,,3,,
16,PRINCIPLES OF PROGRAMMING LANGUAGES,CSCI,4220,12;14,,,3,,
17,COMPUTER ARCHITECTURE,CSCI,4350,15;12,,,3,,
18,OPERATING SYSTEMS,CSCI,4500,15;12,,,3,,
19,INTRODUCTION SOFTWARE ENGINEERING,CSCI,4830,12,,,3,,
20,CAPSTONE PROJECT,CSCI,4970,19,,,3,,
21,ASSESSMENT (MFT),CSCI,4000,,,,0,,
22,Computer Science Upper-Division Course,,,,,,3,,
23,Computer Science Upper-Division Course,,,,,,3,,
24,Computer Science Upper-Division Course,,,,,,3,,
25,Computer Science Upper-Division Course,,,,,,3,,
26,Computer Science Upper-Division Course,,,,,,3,,
27,Computer Science Upper-Division Course,,,,,,3,,
28,Computer Science Upper-Division Course,,,,,,3,,
29,Computer Science Upper-Division Course,,,,,,3,,
30,General Education Requirements ,,,,,,3,,
31,General Education Requirements ,,,,,,3,,
32,General Education Requirements ,,,,,,3,,
33,General Education Requirements ,,,,,,3,,
34,General Education Requirements ,,,,,,3,,
35,General Education Requirements ,,,,,,3,,
36,General Education Requirements ,,,,,,3,,
37,General Education Requirements ,,,,,,3,,
38,General Education Requirements ,,,,,,3,,
39,General Education Requirements ,,,,,,3,,
40,General Education Requirements ,,,,,,3,,
41,COMPUTER SCIENCE PRINCIPLES,CSCI,1200,,,,3,,
