Curriculum,Computer Science,,,,,,,,
Institution,University of Maryland - Baltimore County,,,,,,,,
Degree Type,BS,,,,,,,,
System Type,semester,,,,,,,,
CIP,11.0701,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,Calculus and Analytic Geometry I,MATH,151,,,,4,,
2,Calculus and Analytic Geometry II,MATH,152,1,,,4,,
3,Introduction to Linear Algebra,MATH,221,1,,,3,,
4,Introduction to Probability and Statistics for Scientists and Engineers,STAT,355,2,,,4,,
5,Computer Science I for Majors ,CMSC,201,1,,,4,,
6,Computer Science II for Majors,CMSC,202,5;1,,,4,,
7,Discrete Structures,CMSC,203,1,,,3,,
8,Social and Ethical Issues in Information Technology,CMSC,304,6,,,3,,
9,Computer Organization and Assembly Language Programming,CMSC,313,6;7,,,3,,
10,Principles of Programming Language,CMSC,331,6;7,,,3,,
11,Data Structures,CMSC,341,6;7,,,3,,
12,Computer Architecture,CMSC,411,9,,,3,,
13,Principles of Operating Systems,CMSC,421,11;9,,,3,,
14,Design and Analysis of Algorithms,CMSC,441,2;11;4,,,3,,
15,Software Engineering I,CMSC,447,11,,,3,,
16,Required Science Course,,,,,,4,,
17,Required Science Course,,,,,,4,,
18,Required Science Course,,,,,,3,,
19,CMSC 4XX Elective,,,,,,3,,
20,CMSC 4XX Elective,,,,,,3,,
21,Foreign Language 201,,,,,,3,,
22,ENGL GEP,,,,,,3,,
23,AH GEP,,,,,,4,,
24,SS GEP,,,,,,3,,
25,SS GEP,,,,,,3,,
26,Elective,,,,,,3,,
27,SS GEP,,,,,,3,,
28,Required Science Lab,,,,,,3,,
29,CMSC 4XX Elective,,,,,,3,,
30,AH GEP,,,,,,2,,
31,C GEP,,,,,,3,,
32,Upper-Level Elective,,,,,,3,,
33,Elective,,,,,,3,,
34,CMSC 4XX Elective,,,,,,3,,
35,CMSC 4XX Elective,,,,,,3,,
36,Elective,,,,,,3,,
37,Elective,,,,,,3,,
38,Elective,,,,,,3,,
