Curriculum,Computer Science,,,,,,,,
Institution,Cornell University,,,,,,,,
Degree Type,BS,,,,,,,,
System Type,semester,,,,,,,,
CIP,11.0701,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,First Year Writing Seminar,,,,,,3,,
2,First Year Writing Seminar,,,,,,3,,
3,Liberal Studies,,,,,,3,,
4,Liberal Studies,,,,,,3,,
5,Liberal Studies,,,,,,3,,
6,Liberal Studies,,,,,,3,,
7,Liberal Studies,,,,,,3,,
8,Liberal Studies,,,,,,3,,
9,Calculus for Engineers,MATH,1910,,,,4,,
10,Multivariable Calculus for Engineers,MATH,1920,9,,,4,,
11,Linear Algebra for Engineers,MATH,2940,10,,,4,,
12,Physics I: Mechanics & Heat,PHYS,1112,10,10,,4,,
13,Physics II: Electromagnetism,PHYS,2213,12;10,,,4,,
14,Science Requirement,,,,,,4,,
15,Science Requirement,,,,,,4,,
16,Introduction to Computing Using Python,CS,1110,,,,4,,
17,Object-Oriented Programming and Data Structures,CS,2110,16,,,3,,
18,Distribution Requirement 2,,,,,,3,,
19,Distribution Requirement 3,,,,,,3,,
20,Technical writing,,,,,,3,,
21,Probability Course,,,,,,3,,
22,Discrete Structures,CS,2800,16,,,3,,
23,Data Structures and Functional Programming,CS,3110,17;22,22,,4,,
24,Digital Systems,CS,3410,17,,,4,,
25,Operating Systems,CS,4410,24,,,3,,
26,"Theory of Algorithms	",CS,4820,22;23,,,4,,
27,CS 4000+ Elective,,,,,,3,,
28,CS 4000+ Elective,,,,,,3,,
29,CS 4000+ Elective,,,,,,3,,
30,CS Project,,,,,,3,,
31,Technical Elective,,,,,,3,,
32,Technical Elective,,,,,,3,,
33,Technical Elective,,,,,,3,,
34,External Specialization,,,,,,3,,
35,External Specialization,,,,,,3,,
36,External Specialization,,,,,,3,,
37,Major Approved Course,,,,,,3,,
38,Advisor Approved Course,,,,,,3,,
39,Advisor Approved Course,,,,,,3,,
