Curriculum,Computer Science,,,,,,,,
Institution,New York University,,,,,,,,
Degree Type,BS,,,,,,,,
System Type,semester,,,,,,,,
CIP,11.0701,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,Introduction to Programming & Problem Solving,CS-UY,1114,,,,4,,
2,Calculus I for Engineers,MA-UY,1024,,,,4,,
3,Writing the Essay:,EXPOS-UA,1,,,,4,,
4,Engineering and Technology Forum,EG-UY,1001,,,,1,,
5,Introduction to Engineering and Design,EG-UY,1003,,,,3,,
6,Introduction to Computer Science,CS-UY,1122,1,,,2,,
7,Data Structures and Algorithms,CS-UY,1134,1,,,4,,
8,Calculus II for Engineers,MA-UY,1124,2,,,4,,
9,The Advanced College Essay,EXPOS-UA,2,3,,,4,,
10,Science Elective,,,,,,3,,
11,Object Oriented Programming,CS-UY,2124,7,,,4,,
12,Discrete Mathematics,MA-UY,2314,,,,4,,
13,HuSS elective,,,,,,4,,
14,Science Elective,,,,,,3,,
15,Computer Architecture and Organization,CS-UY,2214,12;11,,,4,,
16,Design & Analysis of Algorithms,CS-UY,2413,12;11,,,3,,
17,Data Analysis,MA-UY,2224,8,,,4,,
18,HuSS elective,,,,,,4,,
19,Introduction to Operating Systm,CS-UY,3224,15;12;11,,,4,,
20,CS elective,,,,,,3,,
21,HuSS elective,,,,,,4,,
22,Science elective,,,,,,3,,
23,Free elective,,,,,,3,,
24,CS elective,,,,,,3,,
25,CS elective,,,,,,3,,
26,HuSS elective,,,,,,4,,
27,Free elective,,,,,,3,,
28,Free elective,,,,,,3,,
29,Software Engineering,CS-UY,4513,,,,3,,
30,CS elective,,,,,,3,,
31,CS elective,,,,,,3,,
32,Free elective,,,,,,4,,
33,Free elective,,,,,,3,,
34,Design Project,CS-UY,4523,29,,,3,,
35,CS elective,,,,,,3,,
36,Free elective,,,,,,4,,
37,Free elective,,,,,,3,,
38,Free elective,,,,,,3,,
