Curriculum,Computer Science,,,,,,,,
Institution,University of Texas at Austin,,,,,,,,
Degree Type,BS,,,,,,,,
System Type,semester,,,,,,,,
CIP,11.0701,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,Intro to Programming,CS,312,,,,3,,
2,Calculus 1,M,408N,,1,,4,,
3,First Year Seminar,,,,,,3,,
4,History 1,HIS,315K,,,,3,,
5,Social Science,,,,,,3,,
6,Discrete Math,CS,311,1;2,,,3,,
7,Data Structures,CS,314,1,,,3,,
8,Calculus 2,M,408S,2,,,4,,
9,Rhetoric & Composition 1,RHE,306,,,,3,,
10,History 2,HIS,315L,,,,3,,
11,Comp. Org & Arch,CS,429,6;7,,,4,,
12,Calculus 3,M,408M,8,,,4,,
13,Intro to Probability & Statistics,SDS,321,8,,,3,,
14,American Government,GOV,310L,,,,3,,
15,General Elective,,,,,,3,,
16,Operating Systems,CS,439,11,,,4,,
17,CS Upper Division Elective,,,,,,3,,
18,Matrices and Matrix Calculations,M,340L,2,,,3,,
19,Texas Government,GOV,312L,,,,3,,
20,General Elective,,,,,,3,,
21,Algorithms,CS,331,11;13;18,18,,3,,
22,CS Upper Division Elective,,,,,,3,,
23,Science Sequence Part 1,,,,,,3,,
24,Foreign Language or Culture,,,,,,3,,
25,General Elective,,,,,,3,,
26,CS Upper Division Elective,,,,,,3,,
27,CS Upper Division Elective,,,,,,3,,
28,Science Sequence Part 2,,,,,,3,,
29,Foreign Language or Culture,,,,,,3,,
30,General Elective,,,,,,3,,
31,CS Upper Division Elective,,,,,,3,,
32,CS Upper Division Elective,,,,,,3,,
33,Additional Math or science,,,,,,3,,
34,Literature Course,,,,,,3,,
35,General Elective,,,,,,3,,
36,CS Upper Division Elective,,,,,,3,,
37,CS Upper Division Elective,,,,,,3,,
38,Visual Performing Arts,,,,,,3,,
39,General Elective,,,,,,3,,
40,General Elective,,,,,,3,,
