Curriculum,Computer Science,,,,,,,,
Institution,,,,,,,,,
Degree Type,BS,,,,,,,,
System Type,semester,,,,,,,,
CIP,11.0701,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,Object Or Prog.,CS,1410,,,,4,,
2,Calc 1,MATH,1210,,,,4,,
3,General Ed,,,,,,3,,
4,General Ed,,,,,,3,,
5,Data Str/Algorthm ,CS,2420,,,,4,,
6,Calc 2,MATH,1220,2,,,4,,
7,General Ed,,,,,,3,,
8,Writing,WRTG,2010,,,,3,,
9,Discrete,CS,2100,1;2,,,3,,
10,Software Prac. I,CS,3500,5,,,4,,
11,Eng Prob & Stats,CS,3130,5,,,3,,
12,American Institutions,,,,,,3,,
13,General Ed,,,,,,3,,
14,Software Prac. II,CS,3505,10,,,3,,
15,Comp. Org.,CS,3810,5,,,4,,
16,CS Elective,,,,,,3,,
17,Linear Algebra,MATH,2270,2,,,4,,
18,Comp. Systems,CS,4400,15,,,4,,
19,CS Elective,,,,,,3,,
20,Math/Science Elective,,,,,,4,,
21,Writing elective,,,,,,3,,
22,CS Elective,,,,,,3,,
23,Algorithms,CS,4150,9;10,,,3,,
24,CS Elective,,,,,,3,,
25,CS Elective,,,,,,3,,
26,(IR)/ Upper Division ,,,,,,3,,
27,Physics I,PHYS,2210,2,,,4,,
28,CS 4000 or CS 4940 ,,,,,,3,,
29,CS elective ,,,,,,3,,
30,CS elective,,,,,,3,,
31,General Ed/ Upper Division,,,,,,3,,
32,Free Elective,,,,,,3,,
33,CS 4500 or CS 4970,,,,,,3,,
34,CS Elective,,,,,,3,,
35,Math/Science Elective,,,,,,4,,
36,General Ed,,,,,,3,,
37,Free Elective,,,,,,2,,
