Curriculum,Computer Science,,,,,,,,,
Degree Plan,Curriculum in Computer Science,,,,,,,,,
Institution,Auburn University,,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,11.0701,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,English Composition I,ENGL,1100,,,,3,,,1
2,World History or Technology & Civilization,,,,,,3,,,1
3,Calculus I,MATH,1610,,,,4,,,1
4,Core Science Sequence I,,,,,,4,,,1
5,Introduction to Engineering,ENGR,1110,,,,2,,,1
6,English Composition II,ENGL,1120,1,,,3,,,2
7,Calculus II,MATH,1620,3,,,4,,,2
8,Core Science Sequence II,,,,,,4,,,2
9,Fundamentals of Computing I,COMP,1210,,,,3,,,2
10,Core Social Science,,,,,,3,,,3
11,Core Literature,,,,,,3,,,3
12,Public Speaking (or ROTC),COMM,1000,,,,3,,,3
13,Science Elective,,,,,,4,,,3
14,Fundamentals of Computing II,COMP,2210,9,,,4,,,3
15,Core Social Science,,,,,,3,,,4
16,Digital Logic Circuits,ELEC,2200,9,,,3,,,4
17,Topics in Linear Algebra,MATH,2660,7,,,3,,,4
18,Software Construction,COMP,2710,14,,,3,,,4
19,Discrete Structures,COMP,3240,9,,,3,,,4
20,Core Fine Arts,,,,,,3,,,5
21,Probability and Statistics I,STAT,3600,7,,,3,,,5
22,Principles of Programming Languages,COMP,3220,14,,,3,,,5
23,Introduction to Algorithms,COMP,3270,19;14,,,3,,,5
24,Computer Organization and Assembly Language Programming,COMP,3350,15,,,3,,,5
25,Introduction to Ethics,PHIL,1020,,,,3,,,6
26,Concentration,,,,,,3,,,6
27,Humanities / Social Science Elective,,,,,,3,,,6
28,Introduction to Operating Systems,COMP,3500,18;24,,,3,,,6
29,Software Modeling and Design,COMP,3700,18,,,3,,,6
30,Free Elective (or ROTC),,,,,,3,,,7
31,Concentration,,,,,,3,,,7
32,Formal Languages,COMP,4200,19,,,3,,,7
33,Introduction to Computer Networks,COMP,4320,28,,,3,,,7
34,COMP Elective,,,,,,3,,,7
35,Concentration,,,,,,3,,,8
36,Math Elective,,,,,,3,,,8
37,Computer Ethics,COMP,4730,25,,,1,,,8
38,COMP Elective,,,,,,6,,,8
39,University Graduation,UNIV,4AA0,,,,0,,,8
