Curriculum,Computer Science,,,,,,,,,
Degree Plan,Computer Science,,,,,,,,,
Institution,Carnegie Mellon University,,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,11.0701,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,Freshmman Immigration Course,7,128,,,,0.33,,,1
2,Principles of Imperative Computation,15,122,,,,3.33,,,1
3,Great Practical Ideas for Computer Scientists,15,131,,,,0.67,,,1
4,Mathematical Foundations for Computer Science,15,151,,,,3.33,,,1
5,Differential and Integral Calculus,21,120,,,,3.33,,,1
6,Interpretation and Argument,76,101,,,,3,,,1
7,Computing @ Carnegie Mellon,99,101,,,,1,,,1
8,Principles of Functional Programming,15,150,4,,,3.33,,,2
9,Great Ideas in Theoretical Computer Science,15,251,8;2;4,,,4,,,2
10,Integration and Approximation,21,122,5,,,3.33,,,2
11,Science/Engineering Course,,,,,,3,,,2
12,Humanities and Arts Elective,,,,,,3,,,2
13,Introduction to Computer Systems,15,213,2,,,4,,,3
14,Matrices and Linear Transformations,21,241,,,,3.33,,,3
15,Science/Engineering Course,,,,,,3,,,3
16,Humanities and Arts Elective,,,,,,3,,,3
17,Minor Requirement / Free Elective,,,,,,3,,,3
18,Parallel and Sequential Data Structures and Algorithms,15,210,2;8,,,4,,,4
19,Computer Science: Domains Elective,,,,,,3,,,4
20,Science/Engineering Course,,,,,,3,,,4
21,Humanities and Arts Elective,,,,,,3,,,4
22,Minor Requirement / Free Elective,,,,,,3,,,4
23,Algorithm Design and Analysis,,,,,,4,,,5
24,Computer Science: Logic/Languages Elective,,,,,,3,,,5
25,Technical Communications Course,,,,,,3,,,5
26,Probability Course,,,,,,3,,,5
27,Minor Requirement / Free Elective,,,,,,3,,,5
28,Computer Science: Systems Elective,,,,,,4,,,6
29,Computer Science: Artificial Intelligence Elective,,,,,,3,,,6
30,Humanities and Arts Elective,,,,,,3,,,6
31,Minor Requirement / Free Elective,,,,,,3,,,6
32,Science/Engineering Course,,,,,,3,,,6
33,School of Computer Science Elective,,,,,,3,,,7
34,Humanities and Arts Elective,,,,,,3,,,7
35,Minor Requirement / Free Elective,,,,,,3,,,7
36,Minor Requirement / Free Elective,,,,,,3,,,7
37,School of Computer Science Elective,,,,,,3,,,8
38,Humanities and Arts Elective,,,,,,3,,,8
39,Minor Requirement / Free Elective,,,,,,3,,,8
40,Minor Requirement / Free Elective,,,,,,3,,,8
