Curriculum,Computer Science,,,,,,,,
Institution,University of South Florida,,,,,,,,
Degree Type,BS,,,,,,,,
System Type,semester,,,,,,,,
CIP,11.0701,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,Engineering Calculus I,MAC,2281,,,,4,,
2,Engineering Calculus II,MAC,2282,1,,,4,,
3,Intro to Linear Systems,EGN,4450,2,,,2,,
4,Engineering Calculus III,MAC,2283,2,,,4,,
5,Prob and Statistics for Engineers,EGN,3443,2,,,3,,
6,Natural Science Elective,,,,,,3,,
7,Natural Science Electives,,,,,,3,,
8,Physics I,PHY,2048,7,,,3,,
9,Physics I Lab,PHY,2048L,,,8,1,,
10,Physics II,PHY,2049,8,,,3,,
11,Physics II Lab,PHY,2049L,,,10,1,,
12,Foundations of Engineering,EGN,3000,,,,3,,
13,Composition I,ENC,1101,,,,3,,
14,Composition II,ENC,1102,13,,,3,,
15,Programming Concepts,COP,2510,1,,,3,,
16,Computer Organization,CDA,3103,15;10,,,3,,
17,Program Design,COP,3514,15,,,3,,
18,Object Oriented Software Design,COP,3331,17,16,,3,,
19,Discrete Structures,COT,3100,1,,,3,,
20,Computer Logic Design ,CDA,3201,16;17,,,3,,
21,Computer Logic Design Lab,CDA,3201L,,,20,1,,
22,Data Structures,COP,4503,19;18;16,,,3,,
23,Computer Architecture,CDA,4205,20,,,3,,
24,Operating Systems,COP,4600,22,,,3,,
25,Software Engineering,CEN,4020,22,,,3,,
26,Analysis of Algorithms,COT,4400,22;19,,,3,,
27,Ethical Issues and Prof Conduct,CIS,4250,,,,3,,
28,Secure Coding,CNT,4419,22,,,3,,
29,General Elective,,,,,,3,,
30,General Elective,,,,,,3,,
31,Software Elective,,,,,,3,,
32,Software Elective,,,,,,3,,
33,Departmental (CSE) Electives,,,,,,3,,
34,Departmental (CSE) Electives,,,,,,3,,
35,Departmental (CSE) Electives,,,,,,3,,
36,Departmental (CSE) Electives,,,,,,4,,
37,Theory Elective ,,,,,,3,,
38,Gen Ed Social Science,,,,,,3,,
39,Gen Ed Humanities,,,,,,3,,
40,Gen Ed Human and Cultural Diversity in GC,,,,,,3,,
41,Communication for Engineers,ENC,3246,,,,3,,
