Curriculum,Computer Science,,,,,,,,
Institution,Texas A&M,,,,,,,,
Degree Type,BS,,,,,,,,
System Type,semester,,,,,,,,
CIP,11.0701,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,Engineering Lab I - Computation,ENGR,102,,2,,2,,
2,Engineering Mathematics I,MATH,151,,,,4,,
3,General Chemistry for Engineering Students Laboratory,CHEM,117,,,,1,,
4,General Chemistry for Engineering Students,CHEM,107,,,3,3,,
5,Composition and Rhetoric,ENGL,104,,,,3,,
6,UCC,,,,,,3,,
7,Experimental Physics and Engineering Lab II - Mechanics,ENGR,216,2;1,,9,2,,
8,Engineering Mathematics II,MATH,152,2,,,4,,
9,Newtonian Mechanics for Engineering and Science,PHYS,206,2,,,3,,
10,English Core,,,,,,3,,
11,UCC,,,,,,3,,
12,Introduction to Program Design and Concepts,CSCE,121,,,,4,,
13,Discrete Structures for Computing ,CSCE,222,2,,,3,,
14,Linear Algebra,MATH,304,8,,,3,,
15,Introduction to Computing,CSCE,181,,,,1,,
16,Science Elective,,,,,,4,,
17,General Elective,,,,,,1,,
18,Data Structures and Algorithms,CSCE,221,12,,,4,,
19,Computer Organization,CSCE,312,,18,,4,,
20,Programming Languages,CSCE,314,,18,,3,,
21,Emphasis area Elective,,,,,,3,,
22,UCC,,,,,,3,,
23,Introduction to Computer Systems,CSCE,313,18;19,,,4,,
24,Programming Studio,CSCE,315,19;20,,23,3,,
25,Seminar,CSCE,481,,,,1,,
26,Principles of Statistics I,STAT,211,8,,,3,,
27,Emphasis area Elective,,,,,,3,,
28,UCC,,,,,,3,,
29,Design and Analysis of Algorithms,CSCE,411,18;13,,,3,,
30,CPSE Elective,,,,,,3,,
31,CPSE Elective,,,,,,3,,
32,"MATH 251, 302, or 308",,,,,,3,,
33,Science Elective,,,,,,3,,
34,High-Impact Experience,CSCE,399,,,,0,,
35,CPSE Elective,,,,,,3,,
36,CPSE Elective,,,,,,3,,
37,CPSE Elective,,,,,,3,,
38,UCC,,,,,,3,,
39,Emphasis area Elective,,,,,,3,,
40,Senior Capstone Design,CSCE,482,24;29,,,3,,
41,CPSE Elective,,,,,,3,,
42,UCC,,,,,,3,,
43,UCC,,,,,,3,,
44,Emphasis area Elective,,,,,,3,,
