Curriculum,Computer Science,,,,,,,,,
Degree Plan,Computer Science BS,,,,,,,,,
Institution,University of Kentucky,,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,11.0701,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,Engineering Exploration I,EGR,101,,,,1,,,1
2,Fundamentals Of Engineering Computing,EGR,102,,,,2,,,1
3,UK Core - Comp. & Comm. I,,,,,,3,,,1
4,Calculus I,MA,113,,,,4,,,1
5,General University Physics,PHY,231,,4,,4,,,1
6,General University Physics Laboratory,PHY,241,,5,,1,,,1
7,Engineering Exploration II,EGR,103,2,5;10;4,,2,,,2
8,UK Core - Comp. & Comm. II,,,,,,3,,,2
9,Calculus II,MA,114,4,,,4,,,2
10,Gen College Chemistry I,CHE,105,,,,4,,,2
11,Intr To Pgm Design Abstraction/Prob Solv,CS,215,2,,,4,,,2
12,Calculus III,MA,213,9,,,4,,,3
13,Intro To Software Engr Techniques,CS,216,11,,,3,,,3
14,Design Of Logic Circuits,EE,280,2,,,3,,,3
15,Discrete Mathematics,CS,275,4;2,,,4,,,3
16,UK Core - Social Sciences,,,,,,3,,,3
17,Systems Programming,CS,315,11;15,,,3,,,4
18,Algorithm Dsgn/Analysis,CS,270,13,14,,3,,,4
19,Technical Elective,,,,,,3,,,4
20,Science Elective (UK Core),,,,,,3,,,4
21,UK Core - Humanities,,,,,,3,,,4
22,Introduction To Computer Networking,CS,371,17;18,,,3,,,5
23,CS/MA 321 --OR-- MA 322,,,,,,3,,,5
24,CS Elective,,,,,,3,,,5
25,CS Elective,,,,,,3,,,5
26,Engr Stats A Conceptual Approach,STA,381,12,,,3,,,5
27,Logic/Theory Of Comput,CS,375,4;11;15,,,3,,,6
28,CS Elective,,,,,,3,,,6
29,CS Elective,,,,,,3,,,6
30,Science Elective (Nat Sci),,,,,,3,,,6
31,Technical Elective,,,,,,3,,,6
32,"UK Core - Community, Culture and Citizen",,,,,,3,,,6
33,Software Engineering For Senior Project,CS,498,11;13,,,3,,,7
34,CS Elective,,,,,,3,,,7
35,Technical Elective,,,,,,3,,,7
36,Free Elective (4 hours),,,,,,3,,,7
37,UK Core - Global Dynamics,,,,,,3,,,7
38,Senior Design Project,CS,499,17,,,3,,,8
39,CS Elective,,,,,,3,,,8
40,Technical Elective,,,,,,3,,,8
41,Non-Technical Elective,,,,,,3,,,8
42,Free Elective (3 hours),,,,,,3,,,8
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
,,,,,,,3,,,1
