Curriculum,Computer Science,,,,,,,,
Institution,University of Utah,,,,,,,,
Degree Type,BS,,,,,,,,
System Type,semester,,,,,,,,
CIP,11.0701,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,Object Oriented Programming,CS,1410,,,,4,,
2,Calculus 1,Math,1210,,,,4,,
3,General Education,,,,,,3,,
4,General Education,,,,,,3,,
5,Data Structures/Algorithm,CS,2420,1,,,4,,
6,Calculus 2,Math,1220,2,,,4,,
7,Writing,Wrtg,2010,,,,3,,
8,General Education,,,,,,3,,
9,Discrete Structures,CS,2100,1;2,,,3,,
10,Software Prac. I,CS,3500,5,,,4,,
11,Eng Prob & Stats,CS,3130,,,,3,,
12,American Institutions,,,,,,3,,
13,General Education,,,,,,3,,
14,Software Prac. II,CS,3505,10,,,3,,
15,Computer Organization,CS,3810,5,,,4,,
16,CS Elective,,,,,,3,,
17,Linear Algebra,Math,2270,6,,,4,,
18,Comp. Systems,CS,4400,15,,,4,,
19,CS Theory or CS elective,,,,,,3,,
20,CS elective,,,,,,3,,
21,Math/ Science elective,,,,,,4,,
22,Writing in the Social Sciences,WRTG,3012,,,,3,,
23,Algorithms,CS,4150,9;10,,,3,,
24,CS Theory or CS elective,,,,,,3,,
25,CS Elective,,,,,,3,,
26,(IR)/ Upper Division,,,,,,3,,
27,Physics I,Phys,2210,2,,,4,,
28,Senior Capstone Project - Design Phase,CS,4000,14;22,,,3,,
29,CS elective,,,,,,3,,
30,CS elective,,,,,,3,,
31,General Ed/ Upper Division,,,,,,3,,
32,Senior Capstone Project,CS,4500,28,,,3,,
33,CS elective,,,,,,3,,
34,Math/Science Elective,,,,,,4,,
35,General Ed/ (DV),,,,,,3,,
