Curriculum,Computer Science,,,,,,,,,
Degree Plan,Computer Science,,,,,,,,,
Institution,Purdue University,,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,11.0701,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,Plane Analytic Geometry And Calculus I,MA,16100,,,,5,,,1
2,First-Year Composition,ENGL,10600,,,,4,,,1
3,Language Elective,,,,,,3,,,1
4,Problem Solving and Object-Oriented Programming,CS,18000,1,1,,4,,,1
5,Free Elective,,,,,,1,,,1
6,Free Elective,,,,,,1,,,1
7,Free Elective,,,,,,1,,,1
8,Plane Analytic Geometry And Calculus II,MA,16200,1,,,5,,,2
9,Free Elective/minor,,,,,,1,,,2
10,Foundations of Computer Science,CS,18200,1;4,,,3,,,2
11,Programming in C,CS,24000,4,,,3,,,2
12,Language Elective,,,,,,3,,,2
13,Computer Architecture,CS,25000,10;11,,,4,,,3
14,Data Structures And Algorithms,CS,25100,10;11,,,3,,,3
15,Language Elective,,,,,,3,,,3
16,Free Elective,,,,,,1,,,3
17,Multivariable Calculus,MA,26100,8,,,4,,,3
18,Linear Algebra,MA,26500,17,17,,3,,,4
19,Systems Programming,CS,25200,13;14,14,,4,,,4
20,Science Writing and Presentation,COM,21700,,,,3,,,4
21,Culture or Diversity Course,,,,,,3,,,4
22,Free Elective/minor,,,,,,3,,,4
23,Free Elective/minor,,,,,,3,,,5
24,General Education I,,,,,,3,,,5
25,Free Elective,,,,,,1,,,5
26,CS Track Requirement,,,,,,3,,,5
27,CS Track Requirement,,,,,,3,,,5
28,Introduction to Statistics,STAT,35000,8,,,3,,,5
29,CS Track Requirement,,,,,,3,,,6
30,CS Track Requirement,,,,,,3,,,6
31,Great Issues,,,,,,3,,,6
32,General education II,,,,,,3,,,6
33,Free elective/minor,,,,,,3,,,6
34,CS Track Elective,,,,,,3,,,7
35,Lab Science I,,,,,,3,,,7
36,Multidisciplinary experience/Free Elective/Minor,,,,,,3,,,7
37,General Education III,,,,,,3,,,7
38,Free elective/minor,,,,,,3,,,7
39,CS track elective,,,,,,3,,,8
40,Lab Science II,,,,,,3,,,8
41,Free elective/minor,,,,,,3,,,8
42,Free elective/minor,,,,,,3,,,8
43,Free elective/minor,,,,,,3,,,8
