Curriculum,Computer Science,,,,,,,,
Institution,University of Tennessee,,,,,,,,
Degree Type,BS,,,,,,,,
System Type,semester,,,,,,,,
CIP,11.0701,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,Introduction to Computer Science,COSC,102,,,,4,,
2,English Composition I,ENGL,101,,,,3,,
3,Calculus I,MATH,141,,,,4,,
4,Introduction to Physics for Physical Science and Mathematics Majors I,PHYS,135,,3,,5,,
5,Computer Organization,COSC,130,1,,,4,,
6,English Composition II,ENGL,102,2,,,3,,
7,Calculus II,MATH,142,3,,,4,,
8,Introduction to Physics for Physical Science and Mathematics Majors II,PHYS,136,,,7,5,,
9,Natural Science Elective,,,,,,4,,
10,Data Structures and Algorithms I,COSC,140,5,,,4,,
11,Calculus III,MATH,241,7,,,4,,
12,Cultures and Civilizations Elective,,,,,,3,,
13,Arts and Humanities Elective,,,,,,3,,
14,Data Structures and Algorithms II,COSC,302,10,,,3,,
15,Matrix Algebra I,MATH,251,7,,,3,,
16,Discrete Structures,COSC,311,7;10,,,3,,
17,Systems Programming,COSC,360,5;14,,,4,,
18,Computer Science Upper-Division Elective,,,,,,3,,
19,Algorithm Analysis and Automata,COSC,312,16,,,3,,
20,Probability and Random Variables,ECE,313,7,,,3,,
21,Social Sciences Elective,,,,,,3,,
22,Software Engineering,COSC,340,14,,,3,,
23,Cultures and Civilizations Elective,,,,,,3,,
24,Operating Systems,COSC,361,5;14,,,3,,
25,Computer Science Upper-Division Elective,,,,,,3,,
26,Unrestricted Elective,,,,,,3,,
27,Arts and Humanities Elective,,,,,,3,,
28,Senior Design Theory,COSC,401,17,,,2,,
29,"Computer Science Upper-Division Electives	",,,,,,3,,
30,"Computer Science Upper-Division Electives	",,,,,,3,,
31,"Computer Science Upper-Division Electives	",,,,,,3,,
32,Rhetoric and Writing,ENGL,355,6,,,3,,
33,Senior Design Practicum,COSC,402,28,,,3,,
34,Computer Science Upper-Division Electives,,,,,,3,,
35,Social Sciences Elective,,,,,,3,,
36,Unrestricted Elective,,,,,,3,,
37,Computer Science Upper-Division Electives,,,,,,3,,
