Curriculum,Computer Science,,,,,,,,
Institution,University of Gerogia,,,,,,,,
Degree Type,BS,,,,,,,,
System Type,semester,,,,,,,,
CIP,11.0701,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,Intro Programming,CSCI,1301,,,,4,,
2,Calculus 1,MATH,2250,,,,4,,
3,,ENGL,1101,,,,3,,
4,Foreign Language 1,,,,,,4,,
5,First Year Odyssey Seminar,,,,,,1,,
6,Software Development,CSCI,1302,1,,,4,,
7,CSCL Math Elective,,,,,,4,,
8,,ENGL,1102,3,,,3,,
9,Foreign Language 2,,,,,,4,,
10,Systems Programming,CSCI,1730,,6,,4,,
11,Discrete Mathematics,CSCI,2610,,,,4,,
12,Social Science ,,,,,,3,,
13,Foreign Language 3,,,,,,3,,
14,Data Structures,CSCI,2720,10;11,,,4,,
15,Intro Theory of Computing,CSCI,2670,11,,,4,,
16,Life Science w/Lab,,,,,,4,,
17,Social Science,POLS,1101,,,,3,,
18,CSCL Applications Design Course,,,,,,4,,
19,Architecture,CSCI,4720,15;10,,,4,,
20,Franklin FA/PHIL/REL + Humanities,,,,,,3,,
21,Franklin Literature ,,,,,,3,,
22,PEDB ,,,,,,1,,
23,CSCL Systems Design Course,,,,,,4,,
24,CSCI 4000-Level Elective ,,,,,,4,,
25,"Computing, Ethics, & Society",CSCI,3030,8,,,3,,
26,Physical Science w/Lab,,,,,,4,,
27,Internship,CSCI,5007,,,,3,,
28,CSCI 4000-Level Elective,,,,,,4,,
29,CSCI Math Elective (Upper-Level),,,,,,3,,
30,Area V: Social Science,,,,,,3,,
31,Upper Division Elective ,,,,,,3,,
32,General Elective,,,,,,1,,
33,CSCI 4000-Level Elective ,,,,,,4,,
34,CSCI Math Elective,,,,,,4,,
35,Major-Related Science (Upper Level),,,,,,3,,
36,Franklin Multicultural,,,,,,3,,
