Curriculum,Computer Science,,,,,,,,
Institution,University of Wisconsin -Milwaukee,,,,,,,,
Degree Type,BS,,,,,,,,
System Type,semester,,,,,,,,
CIP,11.0701,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,Survey of Computer Science,COMPSCI,150,,,,3,,
2,Introductory Computer Programming,COMPSCI,250,,,,3,,
3,Intermediate Computer Programming,COMPSCI,251,2;19,,,3,,
4,Introduction to Computer Organization and Assembly Language Programming,COMPSCI,315,2;19,,,3,,
5,Discrete Information Structures,COMPSCI,317,2,,,3,,
6,System Programming,COMPSCI,337,3,,,3,,
7,Data Structures and Algorithms,COMPSCI,351,3;19,,,3,,
8,Introduction to Software Engineering,COMPSCI,361,7,,,3,,
9,"Social, Professional, and Ethical Issues",COMPSCI,395,,,,3,,
10,Introduction to the Theory of Computation,COMPSCI,417,5,,,3,,
11,Programming Languages Concepts,COMPSCI,431,7,,,3,,
12,Computer Architecture,COMPSCI,458,4;18,,,3,,
13,Computer Networks,COMPSCI,520,12,,,3,,
14,Algorithm Design and Analysis,COMPSCI,535,5;7;19,,,3,,
15,Introduction to Operating Systems,COMPSCI,537,12;6,,,3,,
16,Capstone Project,COMPSCI,595,7;8,,,4,,
17,Professional Seminar,EAS,200,,,,1,,
18,"	Digital Logic",ELECENG,354,2,,,3,,
19,Survey in Calculus and Analytic Geometry,MATH,211,,,,3,,
20,Natural Science Requirement,,,,,,3,,
21,Natural Science Requirement,,,,,,3,,
22,Natural Science Requirement,,,,,,3,,
23,Natural Science Requirement,,,,,,3,,
24,Arts Requirement,,,,,,3,,
25,Humanities Requirement,,,,,,3,,
26,Social Science Requirement,,,,,,3,,
27,Social Science Requirement,,,,,,3,,
28,"Writing, Speaking, and Technoscience in the 21st Century",ENGLISH,310,,,,3,,
29,Cultural Diversity Requirement,,,,,,3,,
30,English Composition Requirement,,,,,,3,,
31,Foreign Language Requirement,,,,,,4,,
32,Foreign Language Requirement,,,,,,4,,
33,Technical Elective,,,,,,3,,
34,Technical Elective,,,,,,3,,
35,Technical Elective,,,,,,3,,
36,Technical Elective,,,,,,3,,
37,Applied Technology Electives,,,,,,3,,
38,Applied Technology Electives,,,,,,3,,
39,Supplemental Electives,,,,,,3,,
40,Supplemental Electives,,,,,,3,,
41,Applied Mathematics Electives,,,,,,3,,
42,Applied Mathematics Electives,,,,,,3,,
43,Applied Mathematics Electives,,,,,,3,,
