#,Institution,Count, Faculty
1 ,Carnegie Mellon University ,17.6,150
2 ,Massachusetts Institute of Technology ,12.3,85
3 ,Stanford University ,11.2,64
4 ,University of California - Berkeley ,11.1,85
5 ,Univ. of Illinois at Urbana-Champaign ,10.2,90
6 ,Cornell University ,9.4,77
7 ,University of Michigan ,8.9,74
7 ,University of Washington ,8.9,61
9 ,Georgia Institute of Technology ,8.4,90
10 ,University of California - San Diego ,7.6,59
11 ,University of Maryland - College Park ,7.3,66
12 ,Columbia University ,6.6,49
13 ,University of Wisconsin - Madison ,6.3,49
14 ,University of Pennsylvania ,5.8,51
15 ,Northeastern University ,5.5,58
15 ,University of Texas at Austin ,5.5,44
17 ,University of California - Los Angeles ,5.4,38
18 ,University of Southern California ,5.1,42
19 ,Purdue University ,4.9,53
20 ,New York University ,4.8,52
21 ,Princeton University ,4.6,40
22 ,University of Massachusetts Amherst ,4.5,44
23 ,University of California - Irvine ,4.3,60
24 ,Harvard University ,4.1,28
25 ,Pennsylvania State University ,4,43
26 ,Northwestern University ,3.9,42
26 ,Rutgers University ,3.9,47
28 ,University of California - Santa Barbara ,3.7,29
29 ,Ohio State University ,3.6,37
30 ,University of Chicago ,3.5,30
31 ,University of Colorado Boulder ,3.4,61
31 ,University of Utah ,3.4,39
33 ,Texas A&M University ,3.3,41
33 ,University of Minnesota ,3.3,39
35 ,Brown University ,3.2,27
35 ,Stony Brook University ,3.2,38
35 ,University of California - Riverside ,3.2,41
38 ,University of Illinois at Chicago ,3,38
38 ,University of Virginia ,3,31
40 ,Boston University ,2.9,29
40 ,Rice University ,2.9,24
40 ,University of California - Santa Cruz ,2.9,40
40 ,Yale University ,2.9,29
44 ,Duke University ,2.8,21
44 ,Johns Hopkins University ,2.8,29
44 ,Oregon State University ,2.8,27
47 ,University of California - Davis ,2.7,26
47 ,University of Central Florida ,2.7,32
49 ,University at Buffalo ,2.6,34
50 ,Indiana University ,2.5,41
50 ,University of North Carolina ,2.5,20
50 ,Virginia Tech ,2.5,42
53 ,Arizona State University ,2.4,28
53 ,University of Texas at Dallas ,2.4,33
55 ,North Carolina State University ,2.3,33
55 ,University of Pittsburgh ,2.3,20
57 ,University of Rochester ,2.2,21
58 ,Washington University in St. Louis ,2.1,25
59 ,University of Notre Dame ,2,23
59 ,University of Texas at Arlington ,2,21
61 ,George Mason University ,1.9,24
61 ,Michigan State University ,1.9,17
61 ,TTI Chicago ,1.9,12
61 ,University of Florida ,1.9,23
65 ,Binghamton University ,1.8,21
65 ,California Institute of Technology ,1.8,13
65 ,Dartmouth College ,1.8,14
65 ,Florida State University ,1.8,17
65 ,Rensselaer Polytechnic Institute ,1.8,14
70 ,Rochester Institute of Technology ,1.7,30
70 ,Stevens Institute of Technology ,1.7,16
70 ,University of Houston ,1.7,16
73 ,College of William and Mary ,1.6,11
73 ,Georgetown University ,1.6,14
73 ,Tufts University ,1.6,12
73 ,University of Connecticut ,1.6,12
73 ,University of Iowa ,1.6,10
73 ,University of Tennessee ,1.6,14
73 ,Worcester Polytechnic Institute ,1.6,19
80 ,Brigham Young University ,1.5,15
80 ,CUNY ,1.5,22
80 ,Colorado School of Mines ,1.5,8
80 ,Iowa State University ,1.5,17
80 ,NJIT ,1.5,14
80 ,Temple University ,1.5,10
80 ,University of Arizona ,1.5,17
80 ,University of New Mexico ,1.5,14
80 ,University of South Carolina ,1.5,13
89 ,Case Western Reserve University ,1.4,12
89 ,Clemson University ,1.4,19
89 ,George Washington University ,1.4,12
89 ,Illinois Institute of Technology ,1.4,14
89 ,Lehigh University ,1.4,9
89 ,Univ. of Maryland - Baltimore County ,1.4,15
89 ,University of Delaware ,1.4,11
89 ,University of Massachusetts Lowell ,1.4,15
89 ,University of Nebraska ,1.4,14
89 ,University of Oregon ,1.4,14
89 ,University of Texas at San Antonio ,1.4,11
89 ,Washington State University ,1.4,11
101 ,Drexel University ,1.3,10
101 ,Emory University ,1.3,13
101 ,Florida International University ,1.3,10
101 ,Louisiana State University - Baton Rouge ,1.3,6
101 ,Portland State University ,1.3,7
101 ,UNC - Charlotte ,1.3,9
