Curriculum,Computer Science,,,,,,,,
Institution,Boston College,,,,,,,,
Degree Type,BS,,,,,,,,
System Type,semester,,,,,,,,
CIP,11.0701,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,Computer Science 1,CSCI,1101,,,,3,,
2,Calculus 1,MATH,1100,,,,4,,
3,Science with Lab,,,,,,4,,
4,Computer Science 2,CSCI,1102,1,,,3,,
5,Calculus 2,MATH,1102,2,,,4,,
6,Science with Lab,,,,,,4,,
7,Logic and Computation,CSCI,2243,1,,,4,,
8,Computer Organization and Lab,CSCI,2272,1,,,4,,
9,Multivariable Calculus,MATH,2202,5,,,4,,
10,Randomness and Computation,CSCI,2244,1;2,,,4,,
11,Computer Systems ,CSCI,2271,4,,,4,,
12,Computer Architecture and Lab,CSCI,3372,8,,,4,,
13,Linear Algebra,MATH,2210,,,,3,,
14,CSCI 3300+ elective,,,,,,4,,
15,Algorithms ,CSCI,3383,5;7;10,,,4,,
16,Math 3300+ elective,,,,,,4,,
17,Science elective,,,,,,3,,
18,CSCI 3300+ elective,,,,,,4,,
19,Technology and Culture,CSCI,2267,,,,3,,
20,CSCI 3300+ elective,,,,,,4,,
21,Thesis Research,CSCI,3397,15,,,4,,
