Curriculum,Computer Science,,,,,,,,
Institution,Mississippi State,,,,,,,,
Degree Type,BS,,,,,,,,
System Type,semester,,,,,,,,
CIP,11.0701,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,Intro to CSE,CSE,1002,,,,2,,
2,Calculus I,MA,1713,,,,3,,
3,Chemistry,CH,1213,,,,3,,
4,Chemistry Lab,CH,1211,,3,,1,,
5,English Composition I,EN,1103,,,,1,,
6,Intro Computer Programming,CSE,1284,,,,4,,
7,Inter Computer Programming,CSE,1384,6,,,4,,
8,Calculus II,MA,1723,2,,,3,,
9, English Composition II,EN,1113,5,,,3,,
10,Discrete Structures,CSE,2813,6,,,3,,
11,Public Speaking,CO,1003,,,,3,,
12,Data Struct & Ana. of Algorithms,CSE,2383,7;2,,,3,,
13,Dig. Dev. & Logic Des,ECE,3714,6,,,4,,
14,Calculus III,MA,2733,8,,,3,,
15,Physics I,PH,2213,2,,,3,,
16,Humanities Elective,,,,,,3,,
17,Database Systems,CSE,4503,12;10,,,3,,
18,Microprocessors I,ECE,3724,7;13,,,4,,
19,Fine Art Elective,,,,,,3,,
20,Physics II,PH,2223,15;8,,,3,,
21,Linear Algebra,MA,3113,8,,,3,,
22,Operating Systems,CSE,4733,12;18,,,3,,
23,Formal Languages,CSE,3813,12;10,,,3,,
24,Biology I,BIO,1134,,,,4,,
25,Computer Science Electives,,,,,,3,,
26,Distributed Client/Server Prog,CSE,3324,12,,,4,,
27,Programming Languages,CSE,4713,18;23,,,3,,
28,Technical Elective,,,,,,3,,
29,Engineering Statistics I,IE,4613,8,,,3,,
30,Social Science Elective,,,,,,3,,
31,International/Intercultural Study,,,,,,3,,
32,Intro to Analysis of Algorithms,CSE,4833,12;10;14,,,3,,
33,Computer Science Electives,,,,,,3,,
34,Computer Science Electives,,,,,,3,,
35,Free Elective,,,,,,4,,
36,Social Science Elective,,,,,,3,,
37,Social & Ethical Issues,CSE,3981,,,,1,,
38,Computer Architecture,ECE,4713,18,,,3,,
39,Computer Science Electives,,,,,,3,,
40,Technical Writing,GE,3513,,,,3,,
41,Humanities Elective,,,,,,3,,
42,Free Elective,,,,,,3,,
