Curriculum,Computer Science,,,,,,,,
Institution,University of Michigan - Dearborn,,,,,,,,
Degree Type,BS,,,,,,,,
System Type,semester,,,,,,,,
CIP,11.0701,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,Writing & Rhetoric I,COMP,105,,,,3,,
2,Tech Writing for Engineers,COMP,270,1,,,3,,
3,Humanities and the Arts Core,,,,,,3,,
4,Humanities and the Arts Core,,,,,,3,,
5,Social and Beh. Analysis Core Requirement,,,,,,3,,
6,Social and Beh. Analysis Core,,,,,,3,,
7,Social and Beh. Analysis Core,,,,,,3,,
8,Calculus I,MATH,115,,,,4,,
9,Calculus II,MATH,116,8,,,4,,
10,Discrete Structures I,CIS,275,8,,,4,,
11,Probability/Statistics,IMSE,317,9,,,3,,
12,Linear Algebra,MATH,227,9,,,3,,
13,Laboratory Science Requirement,,,,,,4,,
14,Laboratory Science Requirement,,,,,,4,,
15,Computer Science I,CIS,150,,,,4,,
16,Computer Science I Lab,CIS,150L,,15,,0,,
17,Computer Science II,CIS,200,8;15,,,4,,
18,Computer Science II Lab,CIS,200L,,17,,0,,
19,Computer Organization and Assembly Language,CIS,310,17;10,,,4,,
20,Data Structures,CIS,350,17;10,,,4,,
21,Software Engineering I,CIS,375,20;2,,,4,,
22,Computer Networks and Distributed System,CIS,427,20;11,,,4,,
23,Operating Systems,CIS,450,19;20,,,4,,
24,Science Course,,,,,,4,,
25,Discrete Structures II,CIS,306,10,,,4,,
26,CIS-CS Concentration Requirement,,,,,,3,,
27,CIS-CS Concentration Requirement,,,,,,3,,
28,CIS-CS Concentration Requirement,,,,,,3,,
29,CIS-CS Concentration Requirement,,,,,,3,,
30,CIS-CS Concentration Elective,,,,,,3,,
31,CIS-CS Concentration Elective,,,,,,3,,
32,CIS-CS Concentration Elective,,,,,,3,,
33,CIS-CS Concentration Elective,,,,,,3,,
34,CIS-CS Concentration Elective,,,,,,3,,
35,CIS-CS Concentration Elective,,,,,,3,,
36,CIS-CS Concentration Elective,,,,,,3,,
37,Design Seminar I,CIS,4951,21,,,2,,
38,Design Seminar II,CIS,4952,37,,,2,,
