Curriculum,Computer Science,,,,,,,,
Institution,University of Miami,,,,,,,,
Degree Type,BS,,,,,,,,
System Type,semester,,,,,,,,
CIP,11.0701,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,Computer Programming I,CSC,120,,,,4,,
2,Calculus I,MTH,161,,,,4,,
3,English Composition I,ENG,105,,,,3,,
4,Language Course,,,,,,3,,
5,Elective,,,,,,3,,
6,Computer Programming II,CSC,220,1;2,,,4,,
7,Calculus II,MTH,162,2,,,4,,
8,English Composition II,ENG,106,3,,,3,,
9,Language Course,,,,,,3,,
10,Elective,,,,,,3,,
11,Computer Organization and Architecture,CSC,314,6,12,,3,,
12,Discrete Mathematics I,MTH,309,2,,,3,,
13,BIL or CHM or PHY Course I,,,,,,4,,
14,BIL or CHM or PHY Associated Lab I,,,,,,1,,
15,Language Course,,,,,,3,,
16,System Programming,CSC,322,6,,,3,,
17,Introduction to Linear Algebra,MTH,210,7,,,3,,
18,BIL or CHM or PHY Course II,,,,,,4,,
19,BIL or CHM or PHY Associated Lab Course II,,,,,,1,,
20,Social and Ethical Issues in Computing,PHI,115,,,,3,,
21,Data Structures and Algorithm Analysis,CSC,317,12;6,,,3,,
22,Computer Science Practicum I,CSC,401,,,,1,,
23,Database Systems,CSC,423,16,,,3,,
24,Introduction to Probability and Statistics,MTH,224,7,,,3,,
25,People and Society Cognate Course,,,,,,3,,
26,Writing Intensive Course,,,,,,3,,
27,Computer Networks,CSC,424,11;16,,,3,,
28,Theory of Computing,CSC,427,6;12,,,3,,
29,Advanced Writing for STEM,ENG,233,8,,,3,,
30,Arts and Humanities Cognate Course,,,,,,3,,
31,People and Society Cognate Course,,,,,,3,,
32,Principles of Computer Operating Systems,CSC,421,11;16,,,3,,
33,Computer Science Elective,,,,,,3,,
34,Computer Science Seminars,CSC,405,,,,1,,
35,Arts and Humanities Cognate Course,,,,,,3,,
36,People and Society Cognate Course,,,,,,3,,
37,"	Programming Languages",CSC,419,21,,,3,,
38,Introduction to Software Engineering,CSC,431,21,,,3,,
39,Arts and Humanities Cognate Course,,,,,,3,,
40,Elective,,,,,,3,,
41,Elective,,,,,,3,,
