Curriculum,Computer Science,,,,,,,,
Institution,Illinois Institute of Techology,,,,,,,,
Degree Type,BS,,,,,,,,
System Type,quarter,,,,,,,,
CIP,11.0701,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,Intro to the Profession,CS,100,,,,2,,
2,Object-Oriented Programming I,CS,115,,,,2,,
3,Object-Oriented Programming IIÊ1,CS,116,2,,,2,,
4,Discrete Structures,CS,330,3,,,3,,
5,Data Structures and Algorithms,CS,331,3,,,3,,
6,Cmptr Org&Asmbly Lang Prgmmg,CS,350,,3,,3,,
7,Systems Programming,CS,351,5;6,,,3,,
8,Database Organization,CS,425,5,,,3,,
9,Introduction to Algorithms,CS,430,5;4,,,3,,
10,Prgmng Languages Translators,CS,440,5;4,,,3,,
11,Operating Systems,CS,450,7,,,3,,
12,Computers and Society,CS,485,8,,,3,,
13,Software Engineering,CS,487,8;5,,,3,,
14,Computer Science Elective,,,,,,4,,
15,Computer Science Elective,,,,,,4,,
16,Computer Science Elective,,,,,,4,,
17,Calculus I,MATH,151,,,,5,,
18,Calculus II,MATH,152,17,,,5,,
19,Multivariate & Vector Calculus,MATH,251,18,,,4,,
20,Elementary Linear Algebra,MATH,332,19,,,3,,
21,Probability and Statistics,MATH,474,,,,3,,
22,Math Elective ,,,,,,3,,
23,Science Elective,,,,,,3,,
24,Science Elective,,,,,,3,,
25,Communication Elective,,,,,,3,,
26,Interprofessional Projects,,,,,,6,,
27,Humanities and Social Sciences Requirements,,,,,,21,,
28,Free Electives ,,,,,,12,,
29,General Physics I: Mechanics,PHYS,123,,,,4,,
30,Gen Physics II: Elect&Magntism,PHYS,221,29,,,4,,
31,,,,,,,,,
32,,,,,,,,,
33,,,,,,,,,
34,,,,,,,,,
35,,,,,,,,,
36,,,,,,,,,
37,,,,,,,,,
38,,,,,,,,,
39,,,,,,,,,
40,,,,,,,,,
41,,,,,,,,,
42,,,,,,,,,
43,,,,,,,,,
44,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
