Curriculum,Computer Science,,,,,,,,
Institution,Iowa State University,,,,,,,,
Degree Type,BS,,,,,,,,
System Type,semester,,,,,,,,
CIP,11.0701,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,Calculus I,MATH,165,,,,4,,
2,Orientation,COM_S,101,,,,1,,
3,"Introduction to Object- Oriented Programming, JAVA",COM_S,227,,,,4,,
4,Social Science,,,,,,3,,
5,Critical Thinking & Communications,ENGL,150,,,,3,,
6,Calculus II,MATH,166,1,,,4,,
7,Careers in Computer Science,COM_S,203,,,,1,,
8,"Introduction to Data Structures, JAVA",COM_S,228,3;1,1,,3,,
9,Arts & Humanities,,,,,,3,,
10,"WRIT,ORAL,EL COMPOS",ENGL,250,5,,,3,,
11,Discrete Computational Structures,COM_S,230,3;1,,,3,,
12,COM_S 300/400 Elective,,,,,,3,,
13,Software Development Practices,COM_S,309,8;1,,,3,,
14,Social Science,,,,,,3,,
15,Elective or World Language 101,,,,,,3,,
16,Math Option,,,,,,3,,
17,Algorithms,COM_S,311,8;6;11;5,,,3,,
18,Introduction to Computer Architecture & Machine level programming,COM_S,321,8;1;11;10,,,3,,
19,Arts & Humanities,,,,,,3,,
20,Elective or World Language 101,,,,,,3,,
21,Science Sequence,,,,,,4,,
22,Theory of Computing,COM_S,331,8;6;11;10,,,3,,
23,"Advanced Prog. Techniques, C++",COM_S,327,8;1,,,3,,
24,Public Speaking,SpCm,212,,,,3,,
25,Elective,,,,,,3,,
26,Science Sequence,,,,,,4,,
27,Statistics Option,,,,,,3,,
28,COM_S 300/400 Elective,,,,,,3,,
29,English Option,,,,,,3,,
30,Philosphy of Technology,PHIL,343,,,,3,,
31,Principles of Programming Languages,COM_S,342,8;1;11,,,3,,
32,COM_S 400 Elective,,,,,,3,,
33,COM_S 300/400 Elective,,,,,,3,,
34,Social Science,,,,,,3,,
35,Elective,,,,,,3,,
36,Senior Project,COM_S,402,13;17;22;10;24;31,31;37,,3,,
37,Introduction to Operating Systems,COM_S,352,18;23;10,,,3,,
38,COM_S 400 Elective,,,,,,3,,
39,Arts & Humanities,,,,,,3,,
40,Elective,,,,,,3,,
