Curriculum,Computer Science,,,,,,,,,
Degree Plan,Computer Science,,,,,,,,,
Institution,Rochester Institute of Technology,,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,11.0701,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,Computer Science I,CSCI,141,,,,4,,,
2,Computer Science II,CSCI,142,1,,,4,,,
3,Project-Based Calculus I,MATH,181,,,,4,,,
4,Project-Based Calculus II,MATH,182,3,,,4,,,
5,Discrete Mathematics for Computing,MATH,190,,4,,3,,,
6,RIT 365: RIT Connections,YOPS,10,,,,0,,,
7,LAS Perspective 1 (ethical),,,,,,3,,,
8,LAS Perspective 2 (artistic),,,,,,3,,,
9,LAS Perspective 3 (global),,,,,,3,,,
10,LAS Perspective 4 (social),,,,,,3,,,
11,First Year Writing,,,,,,3,,,
12,Wellness Education*,,,,,,0,,,
13,"Undergraduate Cooperative Education Seminar	",CSCI,99,,,,0,,,
14,The Mechanics of Programming,CSCI,243,2,,,3,,,
15,Analysis of Algorithms,CSCI,261,14;5,,,3,,,
16,Introduction to Computer Science Theory,CSCI,262,5;14;2,,,3,,,
17,Linear Algebra,MATH,241,5,,,3,,,
18,Probability and Statistics I,MATH,251,4,,,3,,,
19,Introduction to Software Engineering,SWEN,261,2,,,3,,,
20,LAS Perspective 5 (natural science inquiry),,,,,,4,,,
21,LAS Perspective 6 (scientific principles),,,,,,3,,,
22,LAS Elective,,,,,,3,,,
23,LAS Elective,,,,,,4,,,
24,Concepts of Computer Systems,CSCI,250,14;5,,,3,,,
25,Principles of Data Management,CSCI,320,5;2,,,3,,,
26,Introduction to Intelligent Systems,CSCI,331,15;18,,,3,,,
27,LAS Elective,,,,,,3,,,
28,LAS Immersion 1,,,,,,3,,,
29,"Concepts of Parallel and Distributed Systems	",CSCI,251,14,,,3,,,
30,Programming Language Concepts,CSCI,344,14;5,,,3,,,
31,Professional Communications,CSCI,471,,,,3,,,
32,Free Electives,,,,,,3,,,
33,Free Electives,,,,,,3,,,
34,CS Electives,,,,,,3,,,
35,CS Electives,,,,,,3,,,
36,CS Electives,,,,,,3,,,
37,LAS Elective,,,,,,3,,,
38,LAS Immersion 2,,,,,,3,,,
39,CS Electives,,,,,,3,,,
40,LAS Immersion 3,,,,,,3,,,
41,LAS Elective,,,,,,3,,,
42,Free Electives,,,,,,3,,,
43,Free Electives,,,,,,3,,,
