Curriculum,Computer Science,,,,,,,,,
Degree Plan,Computer Science,,,,,,,,,
Institution,University of Massachusetts Lowell,,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,11.0701,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,College Writing I (CW),ENGL,1010,,,,3,,,
2,Computing I,COMP,1010,,,3,3,,,
3,"Computing I Lab	",COMP,1030L,,,,1,,,
4,Calculus I,MATH,1310,,,,4,,,
5,Social Sciences Persp. (SS),,,,,,3,,,
6,College Writing II (CW),ENGL,1020,1,,,3,,,
7,Computing II,COMP,1020,1;3,,9,3,,,
8,Computing II Lab,COMP,1040L,,,,1,,,
9,Calculus II ,MATH,1320,4,,,4,,,
10,Arts and Hum. Persp. (AH),,,,,,3,,,
11,Computing III,COMP,2010,7,,12,3,,,
12,Computung III Lab,COMP,2010L,7,,,1,,,
13,Assembly Language Programming,COMP,2030,7,,14,3,,,
14,Assembly Language Programming Lab,COMP,2030L,7,,,1,,,
15,Discrete Structures I,MATH,2190,4,,,3,,,
16,Logic Design,EECE,2650,9,,,3,,,
17,Oral & Written Comm. for CS (AH),ENGL,2200,6,,,3,,,
18,Computing IV,COMP,2040,11,,,3,,,
19,Discrete Structures II,MATH,3220,15,,,3,,,
20,Probability & Statistics I,MATH,3860,9,,,3,,,
21,Natural Science with Lab,,,,,,4,,,
22,Computer Architecture,COMP,3050,16;9;13,,,3,,,
22,Foundations of Comp. Science,COMP,3040,7;19,,,3,,,
23,Natural Science with Lab,,,,,,4,,,
24,CS Ethics (AH),,,,,,3,,,
25,Free Elective,,,,,,3,,,
26,Organization of Prog. Lang.,COMP,3010,11,,,3,,,
27,Intro. to Operating Systems,COMP,3080,22,,,3,,,
28,Natural Science with Lab,,,,,,4,,,
29,Social Sciences Persp. (SS),,,,,,3,,,
30,Free Elective,,,,,,3,,,
31,Analysis of Algorithms,COMP,4040,7;19;20,,,3,,,
32,Project Course (part 1),,,,,,3,,,
33,Computer Science Elective,,,,,,3,,,
34,Technical Elective,,,,,,3,,,
35,Social Sciences Persp. (SS),,,,,,3,,,
36,Project Course (part 2),,,,,,3,,,
37,Computer Science Elective,,,,,,3,,,
38,Technical Elective,,,,,,3,,,
39,Free Elective,,,,,,3,,,
40,Free Elective,,,,,,3,,,
