Curriculum,Computer Science,,,,,,,,
Institution,University of Arizona,,,,,,,,
Degree Type,BS,,,,,,,,
System Type,semester,,,,,,,,
CIP,11.0701,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,Intro to Computer Programming I,CSC,110,2,2,,4,,
2,Pre-Calculus,MATH,120R,,,,4,,
3,English Composition I,ENGL,101,,,,3,,
4,1st Semester Second Language,,,,,,4,,
5,Intro to Computer Programming II,CSC,120,1,,,4,,
6,Calculus I,MATH,122A/B,2,,,5,,
7,English Composition II,ENGL,102,3,,,4,,
8,2nd Semester Second Language,,,,,,4,,
9,Software Development,CSC,210,5,,,4,,
10,Intro to Discrete Structures,CSC,245,5,,,3,,
11,Calculus II,MATH,129,6,,,3,,
12,Tier 1 General Education,,,,,,3,,
13,Tier 1 General Education,,,,,,3,,
14,Computer Organization,CSC,252,9,,,3,,
15,Systems Programming & Unix,CSC,352,9,,,3,,
16,Supporting Science #1,,,,,,4,,
17,Tier 1 General Education,,,,,,3,,
18,Tier 1 General Education,,,,,,3,,
19,Object-Oriented Programming,CSC,335,9,,,3,,
20,Analysis of Discrete Structures,CSC,345,9;10,,,3,,
21,Supporting Science #2,,,,,,4,,
22,Tier 2 Gen Ed/Upper-Division,,,,,,3,,
23,Upper-Division Elective,,,,,,3,,
24,CSC Paradigms Elective,CSC,,,,,3,,
25,CSC 400-Level Elective,CSC,,,,,3,,
26,Tier 2 Gen Ed/Upper-Division,,,,,,3,,
27,Tier 2 Gen Ed/Upper-Division,,,,,,3,,
28,Elecive,,,,,,3,,
29,CSC Theory & Writing Elective,CSC,,,,,3,,
30,CSC 400-Level Elective,CSC,,,,,3,,
31,Elective,,,,,,3,,
32,Elective,,,,,,3,,
33,Elective,,,,,,3,,
34,CSC Systems Elective,CSC,,,,,3,,
35,CSC 300/400-Level Elective,CSC,,,,,3,,
36,Upper-Division Elective,,,,,,3,,
37,Upper-Division Elective,,,,,,3,,
