Curriculum,Computer Science,,,,,,,,,
Degree Plan,Computer Science,,,,,,,,,
Institution,University of Colorado Colorado Springs,,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,11.0701,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,Principles of Computer Science,CS,1150,,,,3,,,
2,Data Structures & Algorithms,CS,1450,1,,,3,,,
3,Programming in C,CS,2060,1,,,3,,,
4,Programming with UNIX,CS,2080,2,,,2,,,
5,Computer Org. & Assembly Language,CS,2160,2;3,,,3,,,
6,Computing Ethics,CS,3040,4,,,3,,,
7,Object Oriented Programming in C++,CS,3060,3;4,,,3,,,
8,Concepts of Programming Languages,CS,3160,3;5;7,,,3,,,
9,Software Engineering,CS,3300,4;8;7,,,3,,,
10,Compiler Design,CS,4100,5;8;13,,,3,,,
11,Computer Architecture,CS,4200,5,,,3,,,
12,Operating Systems,CS,4500,3;4;11,,,3,,,
13,"Computability, Automata & Formal Lang",CS,4700,23;25,,,3,,,
14,Design & Analysis of Algorithms,CS,4720,2;23,,,3,,,
15,Computer Science Electives,,,,,,3,,,
16,Computer Science Electives,,,,,,3,,,
17,Computer Science Electives,,,,,,3,,,
18,Technical Electives,,,,,,3,,,
19,Technical Electives,,,,,,3,,,
20,Technical Electives,,,,,,3,,,
21,Calculus I,MATH,1350,,,,4,,,
22,Calculus II,MATH,1360,21,,,4,,,
23,Discrete Mathematics,MATH,2150,21,,,3,,,
24,Calculus III,MATH,2350,22,,,4,,,
25,Intro. to Linear Algebra,MATH,3130,21,,,3,,,
26,Intro. To Probability & Statistics,MATH,3810,24,,,3,,,
27,General Physics I,PES,1110,,21,,4,,,
28,General Physics II,PES,1120,27,22,,4,,,
29,General Physics Lab,PES,1160,,27,,1,,,
30,Basic Science Requirement,,,,,,5,,,
31,Rhetoric & Writing,ENGL,1310,,,,3,,,
32,Technical Writing & Presentation,ENGL,2090,31,,,3,,,
33,Writing Portfolio Assessment,PORT,3000,32,,,0,,,
34,Free Elective,,,,,,3,,,
35,Free Elective,,,,,,4,,,
36,Compass Curriculum Humanities/Social Science Requirements,,,,,,3,,,
37,Compass Curriculum Humanities/Social Science Requirements,,,,,,3,,,
38,Compass Curriculum Humanities/Social Science Requirements,,,,,,3,,,
39,Compass Curriculum Humanities/Social Science Requirements,,,,,,3,,,
40,Compass Curriculum Humanities/Social Science Requirements,,,,,,3,,,
41,Compass Curriculum Humanities/Social Science Requirements,,,,,,3,,,
42,Compass Curriculum Humanities/Social Science Requirements,,,,,,3,,,
