Curriculum,Computer Science,,,,,,,,
Institution,University of Kentucky,,,,,,,,
Degree Type,BS,,,,,,,,
System Type,semester,,,,,,,,
CIP,11.0701,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,Engineering Exploration I,EGR,101,,,,1,,
2,Fundamentals of Engineering Computing,EGR,102,,,,2,,
3,UK Core - Comp. & Comm. I,,,,,,3,,
4,Calculus I,MA,113,,,,4,,
5,General University Physics,PHY,231,,4,,4,,
6,General University Physics Laboratory,PHY,241,,5,,1,,
7,Engineering Exploration II,EGR,103,2,5;10;4,,2,,
8,UK Core - Comp. & Comm. II,,,,,,3,,
9,Calculus II,MA,114,4,,,4,,
10,Gen College Chemistry I,CHE,105,,,,4,,
11,Intr to Pgm Design Abstraction/Prob Solv,CS,215,2,,,4,,
12,Calculus III,MA,213,9,,,4,,
13,Intro to Software Engr Techniques,CS,216,11,,,3,,
14,Design of Logic Circuits,EE,280,2,,,3,,
15,Discrete Mathematics,CS,275,4;2,,,4,,
16,UK Core - Social Sciences,,,,,,3,,
17,Systems Programming,CS,315,11;15,,,3,,
18,Algorithm Dsgn/Analysis,CS,270,13,14,,3,,
19,Technical Elective,,,,,,3,,
20,Science Elective (UK Core),,,,,,3,,
21,UK Core - Humanities,,,,,,3,,
22,Introduction to Computer Networking,CS,371,17;18,,,3,,
23,CS/MA 321 --OR-- MA 322,,,,,,3,,
24,CS Elective,,,,,,3,,
25,CS Elective,,,,,,3,,
26,Engr Stats A Conceptual Approach,STA,381,12,,,3,,
27,Logic/Theory of Computing,CS,375,4;11;15,,,3,,
28,CS Elective,,,,,,3,,
29,CS Elective,,,,,,3,,
30,Science Elective (Nat Sci),,,,,,3,,
31,Technical Elective,,,,,,3,,
32,"UK Core - Community, Culture and Citizen",,,,,,3,,
33,Software Engineering for Senior Project,CS,498,11;13,,,3,,
34,CS Elective,,,,,,3,,
35,Technical Elective,,,,,,3,,
36,Free Elective (4 hours),,,,,,4,,
37,UK Core - Global Dynamics,,,,,,3,,
38,Senior Design Project,CS,499,17,,,3,,
39,CS Elective,,,,,,3,,
40,Technical Elective,,,,,,3,,
41,Non-Technical Elective,,,,,,3,,
42,Free Elective (3 hours),,,,,,3,,
