Curriculum,Computer Science,,,,,,,,
Institution,University of California Los Angeles,,,,,,,,
Degree Type,BS,,,,,,,,
System Type,quarter,,,,,,,,
CIP,11.0701,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,Freshman Computer Science Seminar,Computer Science,1,,,,1,,
2,Introduction to Computer Science I,Computer Science,31,,,,4,,
3,"English Composition, Rhetoric, and Language",English Composition,3,,,,5,,
4,Differential and Integral Calculus,Mathematics,31A,,,,4,,
5,Introduction to Computer Science II,Computer Science,32,2,,,4,,
6,Integration and Infinite Series,Mathematics,31B,4,,,4,,
7,Mechanics,Physics,1A,4;6,,,5,,
8,Introduction to Computer Organization,Computer Science,33,5,,,5,,
9,Calculus of Several Variables,Mathematics,32A,4,,,4,,
10,"Oscillations, Waves, Electric and Magnetic Fields",Physics,1B,7;4;6,,,5,,
11,Software Construction Laboratory,Computer Science,35L,2,,,3,,
12,Logic Design of Digital Systems,Computer Science,M51A,,,,4,,
13,HSSEAS Ethics Course,,,,,,4,,
14,Calculus of Several Variables,Mathematics,32B,6;9,,,4,,
15,Linear Algebra and Applications,Mathematics,33A,9,,,4,,
16,Introduction to Discrete Structures,Mathematics,61,4;6,,,4,,
17,"Electrodynamics, Optics, and Special Relativity",Physics,1C,7;10;9;14,,,5,,
18,Mechanics Laboratory or Electricity and Magnetism Laboratory,,,,,,2,,
19,Operating Systems Principles,Computer Science,111,5;11;8,,,5,,
20,Introductory Digital Design Laboratory,Computer Science,M152A,12,,,2,,
21,Differential Equations,Mathematics,33B,6,,,4,,
22,HSSEAS GE Elective,,,,,,5,,
23,Computer Network Fundamentals,Computer Science,118,19,,,4,,
24,Introduction to Algorithms and Complexity,Computer Science,180,5;16,,,4,,
25,HSSEAS GE Elective,,,,,,4,,
26,Science and Technology Elective,,,,,,4,,
27,Programming Languages,Computer Science,131,8;11,,,4,,
28,Computer Systems Architecture,Computer Science,M151B,8;20,,,4,,
29,HSSEAS GE Elective,,,,,,5,,
30,Probability Elective,,,,,,4,,
31,Introduction to Formal Languages and Automata Theory,Computer Science,181,24,,,4,,
32,Computer Science Elective,,,,,,4,,
33,HSSEAS GE Elective,,,,,,5,,
34,Technical Breadth Course,,,,,,4,,
35,Software Engineering or Digital Design Project Laboratory,Computer Science,130,19;27,,,4,,
36,Computer Science Elective,,,,,,4,,
37,HSSEAS GE Elective,,,,,,5,,
38,Science and Technology Elective,,,,,,4,,
39,Computer Science Electives,,,,,,8,,
40,Technical Breadth Course,,,,,,4,,
41,Computer Science Elective,,,,,,4,,
42,Science and Technology Elective,,,,,,4,,
43,Technical Breadth Course,,,,,,4,,
44,Additional coursework to meet 180 unit requirement,,,,,,2,,
