SendInstitution,SendInstitutionCity,SendInstitutionState,SendInstitutionCountry,SendInstitutionOPEID,SendEditionLowYear,SendEditionHighYear,SendCourse1CourseCode,SendCourse1CourseTitle,SendCourse1Units,SendCourse2CourseCode,SendCourse2CourseTitle,SendCourse2Units,SendCourse3CourseCode,SendCourse3CourseTitle,SendCourse3Units,SendCourse4CourseCode,SendCourse4CourseTitle,SendCourse4Units,SendCourse5CourseCode,SendCourse5CourseTitle,SendCourse5Units,SendCourse6CourseCode,SendCourse6CourseTitle,SendCourse6Units,SendCourse7CourseCode,SendCourse7CourseTitle,SendCourse7Units,SendCourse8CourseCode,SendCourse8CourseTitle,SendCourse8Units,SendCourse9CourseCode,SendCourse9CourseTitle,SendCourse9Units,SendCourse10CourseCode,SendCourse10CourseTitle,SendCourse10Units,ReceiveInstitution,ReceiveEditionLowYear,ReceiveEditionHighYear,ReceiveCourse1CourseCode,ReceiveCourse1CourseTitle,ReceiveCourse1Units,ReceiveCourse2CourseCode,ReceiveCourse2CourseTitle,ReceiveCourse2Units,ReceiveCourse3CourseCode,ReceiveCourse3CourseTitle,ReceiveCourse3Units,ReceiveCourse4CourseCode,ReceiveCourse4CourseTitle,ReceiveCourse4Units,ReceiveCourse5CourseCode,ReceiveCourse5CourseTitle,ReceiveCourse5Units,ReceiveCourse6CourseCode,ReceiveCourse6CourseTitle,ReceiveCourse6Units,ReceiveCourse7CourseCode,ReceiveCourse7CourseTitle,ReceiveCourse7Units,ReceiveCourse8CourseCode,ReceiveCourse8CourseTitle,ReceiveCourse8Units,ReceiveCourse9CourseCode,ReceiveCourse9CourseTitle,ReceiveCourse9Units,ReceiveCourse10CourseCode,ReceiveCourse10CourseTitle,ReceiveCourse10Units,ActiveDateBegin,ActiveDateEnd,ContactName,EQCreateDateTime,EQLEditDateTime,HideFlag,CommentsPublic,CommentsPrivate
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2022,2023,ACH 250,Construction Documents IV,3,ACH 297,Estimating Techniques,3,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2021,2022,CON 325,Construction Estimating,4,CON X3002,Departmental Elective Credit,2,,,,,,,,,,,,,,,,,,,,,,,,,11/22/21,,On-Campus *Jason Webster,11/30/22 11:08,11/30/22 11:10,No,,Banner Group: Z2
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2022,2023,AGR 285,Farm Financial Management,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2022,2023,AGR 310,Principles of Agribusiness Management,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/3/23,,On-Campus *Jason Webster,1/3/23 13:21,,No,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2022,2023,AIT 100,Power Generation and Utilization,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2022,2023,AEM X100,APPLIED ENGINEERING MANAGEMENT ELECTIVE-NO DIRECT EKU EQUIVALENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/23/23,,On-Campus *Jason Webster,1/23/23 8:32,,No,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2022,2023,ART 105,Ancient Through Medieval Art History,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2021,2022,ARH 392,Survey of Global Art History I,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/4/22,,On-Campus *Jason Webster,11/4/22 10:53,,No,EKU Arts  -or-  EKU Social & Behavioral Science,ART 105 is applicable towards its institution's GE Arts & Humanities; GEAH tag applied.
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2022,2023,ART 106,Renaissance Through Modern Art History,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2021,2022,ARH 393,Survey of Global Art History II,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/4/22,,On-Campus *Jason Webster,11/4/22 10:58,,No,EKU Arts  -or-  EKU Humanities,ART 106 is applicable towards its institution's GE Arts & Humanities; GEAH tag applied.
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2022,2023,COS 222,Cosmetology Review,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2022,2023,EKU X200,UNIVERSITY PROGRAMS ELECTIVE-NO DIRECT EKU EQUIVALENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/1/20,,eCampus *Lauren Edmondson,1/30/23 14:11,,No,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2022,2023,DMS 146,Cardiac Techniques I,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2022,2023,EKU X100,UNIVERSITY PROGRAMS ELECTIVE-NO DIRECT EKU EQUIVALENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/8/23,,On-Campus *Jason Webster,2/8/23 8:04,,No,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2022,2023,DMS 147,Cardiac Clinical Education I,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2022,2023,EKU X100,UNIVERSITY PROGRAMS ELECTIVE-NO DIRECT EKU EQUIVALENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/8/23,,On-Campus *Jason Webster,2/8/23 8:05,,No,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2022,2023,DMS 207,Cardiac Techniques II,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2022,2023,EKU X200,UNIVERSITY PROGRAMS ELECTIVE-NO DIRECT EKU EQUIVALENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/8/23,,On-Campus *Jason Webster,2/8/23 8:07,2/8/23 8:10,No,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2022,2023,DMS 216,Cardiac Techniques III,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2022,2023,EKU X200,UNIVERSITY PROGRAMS ELECTIVE-NO DIRECT EKU EQUIVALENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/8/23,,On-Campus *Jason Webster,2/8/23 8:08,2/8/23 8:10,No,,
