Curriculum,BSEE-Electrical Engineering,,,,,,,,,,,,
Institution,USF,,,,,,,,,,,,
Degree Type,BSEE,,,,,,,,,,,,
System Type,semester,,,,,,,,,,,,
CIP,14.1001,,,,,,,,,,,,
Courses,,,,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Prerequisites (Text),Corequisites,Corequisites (Text),CoPrerequisites,CoPrerequisites (Text),Strict-Corequistes,Credit Hours,Institution,Canonical Name
24950,Engineering Calculus I,MAC,2281,25856;27685;24946,C (2.0) or better in MAC 1114 and C (2.0) or better in MAC 1140 or C (2.0) or better in MAC 1147 or 670 or better SAT Math score or 29 or better ACT Math score or 90 or better College-Level Math CPT score,,,,,,4,,
25478,General Chemistry I/Chem for Engineers ,CHM/CHS,2045/2440,25855;26602,570 SAT Quantitative score or completion of MAC 1105 College Algebra with a C or better AND one year of high school chemistry or completion of CHM 2023 with a grade of C or better.,,,,,,3,,
23525,Composition I,ENC,1101,,,,,,,,3,,
25479,General Chemistry I/Chem for Engineers Laboratory,CHM/CHS,2045/2440L,,,,,25478,CHM 2045.,,1,,
23287,Foundations of Engineering Lab,EGN,3000L,,,,,,,,3,,
28172,Foundations of Engineering,EGN,3000,,,,,,,,0,,
24951,Engineering Calculus II,MAC,2282,24950,C (2.0) or better in MAC 2281.,,,,,,4,,
23526,Composition II,ENC,1102,23525,ENC 1101 (or the equivalent i.e. passing the CLEP exam).,,,,,,3,,
26014,General Physics I - Calculus Based,PHY,2048,24950;24953,MAC 2281 or MAC 2311,,,,,,3,,
26015,General Physics I Laboratory,PHY,2048L,24950;24953,MAC 2281 or MAC 2311.,26014,PHY 2048,,,,1,,
23747,Fundamentals of Digital Circuits,EEL,3705,,,,,,,,3,,
24952,Engineering Calculus III,MAC,2283,24951,C (2.0) or better in MAC 2282,,,,,,4,,
25357,Engineering Analysis,EGN,3420,24951,MAC 2282,,,,,,4,,
27967,Electrical Engineering Science I - Electronic Materials,EEE,3394,26652;25478;26014;28775,CHS 2440 with a minimum grade of C or CHM 2045 with a minimum grade of C or Chemistry with a minimum score of 4 PHY 2048 with a minimum grade of C or PHY 2060 with a minimum grade of C or Physics C : Mechanics with a minimum score of 4,,,24952;24955,MAC 2283 with a minimum grade of C or MAC 2313 with a minimum grade of C,,3,,
26896,Fundamentals of Digital Circuits Laboratory,EEL,3705L,23747,EEL 3705,,,,,,1,,
4,State Humanities Gen Ed,SGEH,,,,,,,,,3,,
25981,Introduction to Electrical Systems I,EGN,3373,,,24959,,,,,3,,
24959,Differential Equations,MAP,2302,24952,MAC 2283,,,,,,3,,
29920,Electrical Engineering Science II - Electromagnetics/Physics II + Lab,EEL/PHY,3472C/2049 + 2049L,25357;27967;24951;26014;26015,EGN 3420 with a minimum grade of C EEE 3394 with a minimum grade of C,,,,,,4,,
24974,Programming with C,EEL,2161,,,,,,,,3,,
6,Professional Formation of Engineers I,EGS,2070,,,,,,,,1,,
27018,Introduction to Electrical Systems II,EGN,3374,25981,EGN 3373,24959,MAP 2302,,,,3,,
25983,Probability and Statistics for Engineers,EGN,3443,24951,MAC 2282.,,,,,,3,,
24859,Engineering Economics with Social and Global Implications,EGN,3615,,,,,,,,3,,
26911,Laboratory I,EEL,3115L,25981,EGN 3373 with a minimum grade of C,,,,,,1,,
9,EE Core Technical Elective,,,,,,,,,,3,,
10,EE Core Technical Elective,,,,,,,,,,3,,
25885,Signals and Systems,EEL,4102,25357;27018,EGN 3420 with a minimum grade of C EGN 3374 with a minimum grade of C,,,,,,3,,
29988,Computer Tool Lab,EEL,3163C,24974,EEL 2161 with a minimum grade of C,,,,,,1,,
27719,Communication for Engineers,ENC,3246,,,,,,,,3,,
11,Professional Formation of Engineers II,EGS,3071,6,,,,,,,1,,
12,EE Core Technical Elective,,,,,,,,,,3,,
13,EE Core Technical Elective,,,,,,,,,,3,,
14,EE Track Elective,,,,,,,,,,3,,
15,EE Track Elective,,,,,,,,,,3,,
16,EE Track Elective Lab,,,,,,,,,,1,,
17,Professional Formation of Engineers III,EGS,3072,11,,,,,,,1,,
18,Upper-Level Department Elective Lab,,,,,,,,,,1,,
20,Internship/Co-op Participation,,,,,,,,,,0,,
26904,EE Design 1,EEL,4906,,,,,,,,3,,
21,Upper-Level Department Elective,,,,,,,,,,3,,
22,EE Track Elective,,,,,,,,,,3,,
23,EE Track Elective,,,,,,,,,,3,,
24,EE Track Elective Lab,,,,,,,,,,1,,
25,Upper-Level Department Elective,,,,,,,,,,3,,
27855,EE Design 2,EEL,4914,26904,EEL 4906,,,,,,3,,
27,Upper-Level Department Elective,,,,,,,,,,3,,
28,Upper-Level Department Elective,,,,,,,,,,3,,
29,General Elective,,,,,,,,,,3,,
30,General Elective,,,,,,,,,,1,,
31,State Social Science Gen Ed,SGES,,,,,,,,,3,,
Additional courses,,,,,,,,,,,,,
25856,Precalculus Trigonometry,MAC,1114,25855,C (2.0) or better in MAC 1105 or 570 or better SAT Math Score or 24 or better ACT Math Score,,,27685,MAC 1140,,2,,
27685,Precalculus Algebra,MAC,1140,25855,C (2.0) or better in MAC 1105 or 570 or better SAT Math Score or 24 or better ACT Math Score.,,,25856,MAC 1114,,3,,
24946,Precalculus Algebra and Trigonometry,MAC,1147,25855,C (2.0) or better in MAC 1105 or 570 or better SAT Math score or 24 or better ACT Math score or 60 or better College-Level Math CPT score.,,,,,,4,,
25855,College Algebra,MAC,1105,28218,C (2.0) or better in MAT 1033 or 520 or better SAT Math score or 21 or better ACT Math score or 90 or better Elementary Algebra CPT score or 40 or better College-Level Math CPT score.,,,,,,3,,
26602,Chemistry for Today,CHM,2023,,High school chemistry and mathematics including algebra are recommended.,,,,,,3,,
28775,Enriched General Physics I with Calculus,PHY,2060,24953;24950,MAC 2311 or MAC 2281 with minimum grade of 'A',26015,PHY 2048L,,,,3,,
26016,General Physics II - Calculus Based,PHY,2049,24951;24954;26014;26015,MAC 2282 or MAC 2312 PHY 2048 PHY 2048L,,,,,,3,,
28218,Intermediate Algebra,MAT,1033,1,"MAT 0024 with a grade of ""C"" or better or appropriate score on the Scholastic Aptitude Test Mathematics (SATM)",,,,,,3,,
1,???,MAT,24,,,,,,,,?,,
