Curriculum,BSCH-Chemical Engineering,,,,,,,,
Institution,USF,,,,,,,,
Degree Type,BS,,,,,,,,
System Type,semester,,,,,,,,
CIP,14.0701,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
28218,Intermediate Algebra,MAT,1033,,,,3,,
25855,College Algebra,MAC,1105,28218,,,3,,
25856,Precalculus Trigonometry,MAC,1114,25855,,27685,2,,
27685,Precalculus Algebra,MAC,1140,25855,,,3,,
26602,Chemistry for Today,CHM,2023,,,,3,,
24950,Engineering Calculus I,MAC,2281,25856;27685,,,4,,
23525,Composition I,ENC,1101,,,,3,,
25478,General Chemistry I ,CHM,2045,26602,,,3,,
25479,General Chemistry I Laboratory,CHM,2045L,,,25478,1,,
28172,Foundations of Engineering,EGN,3000,,,,0,,
23287,Foundations of Engineering Lab,EGN,3000L,,,,3,,
29189,Introduction to Chemical and Biomolecular Engineering,ECH,3002,,,,2,,
24951,Engineering Calculus II,MAC,2282,24950,,,4,,
25480,General Chemistry II,CHM,2046,25478,,,3,,
26014,General Physics I - Calculus Based,PHY,2048,24950,,,3,,
24442,General Chemistry II Laboratory,CHM,2046L,25479,,25480,1,,
26015,General Physics I Laboratory,PHY,2048L,24950,,26014,1,,
29191,Engineering Computations,ECH,3854,,24951,,3,,
6,Upper-Level Department Elective,,,,,,3,,
24952,Engineering Calculus III,MAC,2283,24951,,,4,,
24545,Cellular Processes,BSC,2010,,,,3,,
26016,General Physics II - Calculus Based,PHY,2049,24951;26014;26015,,,3,,
26017,General Physics II Laboratory,PHY,2049L,24951;26014;26015,,26016,1,,
23526,Composition II,ENC,1102,23525,,,3,,
26654,Material and Energy Balances,ECH,3023,26014;29191,,,3,,
25929,Modeling and Analysis of Engineering Systems OR Diff EQ,EGN or MAP,3433 or 2302,24952;26016,,,3,,
23724,Thermodynamics I,EGN,3343,26014;26016;24952,,,3,,
27897,Numerical Methods in Chemical Engineering,ECH,4846,26654,,,3,,
7,EGE Human & Cultural Diversity,TGED,,,,,3,,
24444,Organic Chemistry I,CHM,2210,25480;24442,,,3,,
24445,Organic Chemistry Laboratory I,CHM,2210L,,,24444,2,,
8,Upper-Level Department Elective,,,,,,3,,
26658,Chemical Engineering Thermodynamics,ECH,4123,26654;23724;25929,,,3,,
9,Upper-level Department Elective,,,,,,3,,
29190,Transport Phenomena I,ECH,3266,23724;26654;25929,,,3,,
28870,General Biochemistry,BCH,3053,24444;24545,,,3,,
24446,Organic Chemistry II,CHM,2211,24444,,,3,,
10,EGE Info & Data Lit,TGEI,,,,,3,,
29192,Kinetics and Reaction Engineering,ECH,4504,25480;27897;26658;29190,,,3,,
29237,Transport Phenomena II,ECH,4267,29190;26658;27897,,,3,,
29229,Separation Processes,ECH,4418,29190;26658;27897,,,3,,
11,Upper-level Department Elective,,,,,,3,,
25910,Introduction to Materials Science,EMA,4003,25480,,,3,,
12,Upper-Level Department Elective,,,,,,3,,
24977,Chemical Engineering Laboratory I,ECH,3240L,,,,2,,
23423,Product and Process Systems Engineering,ECH,4605,29237;29229,,,3,,
30186,Product Design and Manufacturing,ECH,4680,29237;29229,,,3,,
26660,Process Dynamics and Control,ECH,4323,29229,,,3,,
30198,Chemical Process Safety and Ethics,ECH,4715,,,,2,,
24108,Chemical Engineering Laboratory II,ECH,4241L,24977;29192;29229,,,2,,
13,State Humanities Gen Ed,SGEH,,,,,3,,
26661,Product and Process Design,ECH,4615,23423;29192;29229,,,3,,
15,State Social Science Gen Ed,SGES,,,,,3,,
16,EGE Ethical Reasoning & Civic Engagement,TGEE,,,,,3,,
