Curriculum,Psychology,,,,,,,,,
Degree Plan,4-Year Plan,,,,,,,,,
Institution,New Mexico State University,,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,26.0101,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,ENGL 111G,,,,,,4,,,1
2,STAT 251G,,,,,,3,,,1
3,PSY 201G,,,,,,3,,,1
4,SPAN 111,,,,,,4,,,1
5,Second English,,,1,,,3,,,2
6,COMM 265G,,,,,,3,,,2
7,Science Elective,,,,,,4,,,2
8,SPAN 112,,,4,,,4,,,2
9,Fine Arts elective,,,,,,3,,,3
10,SPAN 211,,,8,,,3,,,3
11,Minor,,,,,,3,,,3
12,Elective,,,,,,3,,,3
13,Elective,,,,,,3,,,3
14,BIOL 101G,,,,,,3,,,4
15,BIOL 101GL,,,,14,,1,,,4
16,SPAN 212,,,10,,,3,,,4
17,Minor,,,,,,3,,,4
18,Elective,,,,,,3,,,4
19,Elective,,,,,,3,,,4
20,PSY 350,,,2;3;1,,,3,,,5
21,PSY 310,,,2;3,,,4,,,5
22,PSY elective,,,3,,,3,,,5
23,PHIL 3XX,,,,,,3,,,5
24,Elective,,,,,,3,,,5
25,VWW ,,,,,,3,,,6
26,PSY 301,,,2;3;21,,,3,,,6
27,PSY elective,,,3,,,3,,,6
28,Minor,,,,,,3,,,6
29,Elective,,,,,,3,,,6
30,VWW ,,,,,,3,,,7
31,PSY 317,,,2;3;1,,,3,,,7
32,PSY elective,,,3,,,3,,,7
33,Minor,,,,,,3,,,7
34,Elective,,,,,,4,,,7
35,PHIL elective,,,,,,3,,,8
36,Minor,,,,,,3,,,8
37,Minor,,,,,,3,,,8
38,PSY 320,,,2;3;21,,,3,,,8
39,PSY elective,,,3,,,3,,,8
