Curriculum,Music Education (Brass Woodwind Percussion),,,,,,,,,
Degree Plan,4-Year Plan,,,,,,,,,
Institution,University of Wyoming,,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,26.0101,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,ENGL1010,,,,,,3,,,1
2,MUSC0200,,,,,,0,,,1
3,MUSC1030,,,,,,3,,,1
4,MUSC1035,,,,,,1,,,1
5,MUSC1290,,,,,,1,,,1
6,MUSC1370,,,,,,1,,,1
52,USP First Year Seminar,,,,,,3,,,1
53,2000-level applied lessons II,,,,,,1,,,1
7,MUSC0200,,,,,,0,,,2
8,MUSC1003,,,,,,3,,,2
9,MUSC1025,,,,,,2,,,2
10,MUSC1040,,,3,,,3,,,2
11,MUSC1045,,,4,,,1,,,2
12,MUSC1295,,,5,,,1,,,2
54,USP Quantitative Reasoning,,,,,,3,,,2
55,2000-level applied lessons II,,,,,,1,,,2
56,1000 level Ensemble,,,,,,1,,,2
13,MUSC0200,,,,,,0,,,3
14,MUSC1312,,,10;11,,,2,,,3
15,MUSC1322,,,10,,,2,,,3
16,MUSC1370,,,,,,1,,,3
17,MUSC2030,,,10;3,,,3,,,3
18,MUSC2035,,,4;11,,,1,,,3
19,MUSC2050,,,,,,3,,,3
20,MUSC2290,,,12,,,1,,,3
57,USP Communication 2,,,,,,3,,,3
58,3000-level applied lessons III,,,,,,1,,,3
21,MUSC0200,,,,,,0,,,4
22,MUSC1332,,,10;11,,,2,,,4
23,MUSC1340,,,10;11,,,1,,,4
24,MUSC1360,,,10;11,,,1,,,4
25,MUSC2040,,,17,,,3,,,4
26,MUSC2045,,,18,,,1,,,4
27,MUSC2055,,,,,,3,,,4
28,MUSC2295,,,20,,,1,,,4
29,MUSC2395,,,,,,0,,,4
30,MUSC3255,,,,,,0,,,4
31,MUSC3265,,,,,,0,,,4
59,USP US and Wyoming Constitutions,,,,,,3,,,4
60,3000-level applied lessons III,,,,,,1,,,4
61,1000 level Ensemble,,,,,,1,,,4
32,EDST2450,,,,,,3,,,5
33,MUSC0200,,,,,,0,,,5
34,MUSC1352,,,10;11,,,2,,,5
35,MUSC4070,,,26;25;17;18,,,3,,,5
36,MUSC4455,,,26;25;27,37,,3,,,5
37,MUSC4705,,,,,,1,,,5
62,A&S Core Global Awareness (MUSC3015 recommended),,,,,,3,,,5
63,4000-level applied lessons IV,,,,,,1,,,5
64,3000-level Ensemble,,,,,,1,,,5
38,EDEX2484,,,32,,,3,,,6
39,MUSC0200,,,,,,0,,,6
40,MUSC4300,,,29;17;18,,,3,,,6
41,MUSC4460,,,26;25;27,,,3,,,6
42,MUSC4620,,,9,,,1,,,6
43,MUSC4780,,,35,,,2,,,6
65,USP Physical and Natural World,,,,,,3,,,6
66,4000-level applied lessons IV,,,,,,1,,,6
67,3000-level Ensemble,,,,,,1,,,6
44,MUSC0200,,,,,,0,,,7
45,MUSC4155,,,,,,0,,,7
46,MUSC4380,,,18,,,1,,,7
47,MUSC4465,,,26;25;27,,,3,,,7
48,MUSC4715,,,,,,1,,,7
49,MUSC4750,,,,,,1,,,7
68,USP Physical and Natural World,,,,,,3,,,7
69,USP Human Culture,,,,,,3,,,7
70,5000-level applied lessons V,,,,,,2,,,7
71,3000-level Ensemble,,,,,,1,,,7
50,MUSC4700,,,,,,8,,,8
51,MUSC4710,,,,,,8,,,8
