Curriculum,"Curriculum",,,,,,,,,
Degree Plan,"music-education.csv",,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"26.0101",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,"ENGL 111G","","",,,,4,"","",1
2,"MUS 103","","",,,,1,"","",1
3,"MUS 105","","",,,,3,"","",1
4,"MUS 121","","",,,,0,"","",1
5,"MUS 172","","",,,,1,"","",1
6,"MUS 230","","",,,,2,"","",1
7,"MATH XXXG","","",,,,3,"","",1
8,"Humanities G Elective","","",,,,3,"","",2
9,"Second English","","","1",,,3,"","",2
10,"COMM 265G","","",,,,3,"","",2
11,"MUS 104","","","2",,,1,"","",2
12,"MUS 106","","","3",,,3,"","",2
13,"MUS 121","","",,,,0,"","",2
14,"MUS 230","","",,,,2,"","",2
15,"Ensemble","","",,,,1,"","",2
16,"PHYS 120G","","",,,,4,"","",3
17,"MUS 203","","","11",,,1,"","",3
18,"MUS 205","","","12",,,3,"","",3
19,"MUS 202","","",,,,3,"","",3
21,"MUS 3XX Techniques","","",,,,1,"","",3
22,"MUS 121","","",,,,0,"","",3
23,"MUS 172","","",,,,1,"","",3
24,"MUS 230","","",,,,2,"","",3
25,"MUS 3XX Techniques","","",,,,1,"","",3
29,"MUS 207","","","2",,,3,"","",3
20,"MUS 273","","","29",,,1,"","",4
26,"Social Science G Elective","","",,,,3,"","",4
27,"MUS 204","","","17",,,1,"","",4
28,"MUS 206","","","18",,,3,"","",4
30,"MUS 141","","",,,,1,"","",4
31,"MUS 3XX Techniques","","",,,,1,"","",4
32,"MUS 121","","",,,,0,"","",4
33,"MUS 330","","","6",,,2,"","",4
34,"Ensemble","","",,,,1,"","",4
35,"MUS 250","","",,,,2,"","",4
36,"MUS 163","","",,,,1,"","",4
37,"GE Elective","","",,,,3,"","",5
38,"MUS 413","","","27;28",,,3,"","",5
39,"MUS 302","","","29",,,3,"","",5
40,"MUS 301","","",,,,2,"","",5
41,"MUS 121","","",,,,0,"","",5
42,"MUS 330","","","6",,,2,"","",5
43,"Ensemble","","",,,,1,"","",5
44,"CEP 210","","",,,,3,"","",5
45,"MUS 346","","","35",,,2,"","",5
46,"VWW ","","",,,,3,"","",6
47,"MUS 303","","","39",,,3,"","",6
48,"MUS 322","","",,,,1,"","",6
49,"MUS 325","","","27;28",,,1,"","",6
50,"MUS 415","","","27;28",,,3,"","",6
51,"MUS 3XX Techniques","","",,,,1,"","",6
52,"MUS 390","","","27;28",,,2,"","",6
53,"MUS 121","","",,,,0,"","",6
54,"MUS 430","","","33",,,2,"","",6
55,"Ensemble","","",,,,1,"","",6
56,"MUS 349","","","45",,,2,"","",6
57,"VWW ","","",,,,3,"","",7
58,"MUS 326","","","49",,,3,"","",7
59,"MUS 3XX Techniques","","",,,,1,"","",7
60,"MUS 121","","",,,,0,"","",7
61,"MUS 430","","","33",,,2,"","",7
62,"MUS 440","","",,"54",,1,"","",7
63,"RDG 414","","",,,,3,"","",7
64,"SPED 350","","",,,,3,"","",7
65,"EDUC 471","","",,,,9,"","",8
66,"EDUC 482","","",,,,3,"","",8
