Curriculum,Mechanical Engineering,,,,,,,,,
Degree Plan,4-Year Plan,,,,,,,,,
Institution,North Dakota State,,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,26.0101,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,MATH 165,,,,,,4,,,1
2,ENGL 110,,,,,,4,,,1
3,CHEM 121,,,,,,3,,,1
4,Humanities and Fine Arts ,,,,,,3,,,1
5,Social & Behavior Science,,,,,,3,,,1
6,MATH 166,,,1,,,4,,,2
7,ENGL 120,,,2,,,3,,,2
8,CHEm 122,,,3,,,3,,,2
9,ME 212,,,,,,3,,,2
10,ME 221,,,1,,,3,,,2
11,Wellness Gen Ed,,,,,,2,,,2
12,MATH 129,,,,,,3,,,3
13,MATH 259,,,6,,,3,,,3
14,IME 330,,,9,,,3,,,3
15,ME 222,,,10,,,3,,,3
16,ME 223,,,10,,,3,,,3
17,Humanities and Fine Arts ,,,,,,3,,,3
18,MATH 226,,,,12,,3,,,4
19,COMM 110,,,,,,3,,,4
20,PHYS 252,,,,,,5,,,4
21,ME 213,,,15;12,,,3,,,4
22,ME 351,,,13;15,,,3,,,4
23,ECE 301,,,20,,,3,,,5
24,ENGL 321,,,7,,,3,,,5
25,ME 331,,,16,,,4,,,5
26,ME 352,,,22,,,3,,,5
27,Technical Elective,,,,,,3,,,5
28,ECE 303,,,23,,,3,,,6
29,ECE 306,,,,28,,3,,,6
30,ENGR 402,,,,,,1,,,6
31,ME 361,,,,,,1,,,6
32,ME 442,,,,25,,3,,,6
33,ME 151,,,26;21,,,3,,,6
34,Technical Elective,,,,,,3,,,6
35,ME 421,,,21,,,3,,,7
36,ME 443,,,32,,,3,,,7
37,ME 457,,,,,,3,,,7
38,ME 461,,,31,36,,3,,,7
39,Technical Elective,,,,,,3,,,7
40,ME 412,,,28;16,,,3,,,8
41,ME 462,,,38,,,3,,,8
42,Technical Elective,,,,,,3,,,8
43,Technical Elective,,,,,,3,,,8
44,Social & Behavior Science,,,,,,3,,,8
