Curriculum,"Curriculum",,,,,,,,,
Degree Plan,"music-education.csv",,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"26.0101",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,"MUSC 111","","",,,,1,"","",1
2,"MUSC 130","","",,"3",,3,"","",1
3,"MUSC 132","","",,,,1,"","",1
4,"MUSC 160","","",,,,1,"","",1
5,"MUSC 180","","",,,,0,"","",1
6,"MUSC 189","","",,,,1,"","",1
7,"MUSC 1X1 Applied Study","","",,,,1,"","",1
8,"MUSC 1X2 Choir","","",,,,1,"","",1
9,"MUSC 1X3 Minor Ens","","",,,,1,"","",1
10,"ENGL 110","","",,,,4,"","",1
11,"PSYC 111","","",,,,3,"","",1
12,"MUSC 103","","",,,,3,"","",2
13,"MUSC 131","","","2","14",,3,"","",2
14,"MUSC 133","","",,,,1,"","",2
15,"MUSC 161","","",,,,1,"","",2
16,"MUSC 180","","",,,,0,"","",2
17,"MUSC 1X4 Applied Study","","",,,,1,"","",2
18,"MUSC 1X5 Choir","","",,,,1,"","",2
19,"PSYC 250","","","11",,,3,"","",2
20,"ENGL 120","","","10",,,3,"","",2
21,"MUSC 111","","",,,,1,"","",3
22,"MUSC 180","","",,,,0,"","",3
23,"MUSC 230","","","2","24",,3,"","",3
24,"MUSC 232","","",,,,1,"","",3
25,"MUSC 260","","","15",,,1,"","",3
26,"MUSC 2X1 Applied Study","","",,,,1,"","",3
27,"EDUC 321","","",,,,3,"","",3
28,"Science and Tech Gen Ed","","",,,,3,"","",3
29,"COMM 110","","",,,,3,"","",3
30,"MUSC 163","","",,,,2,"","",4
31,"MUSC 180","","",,,,0,"","",4
32,"MUSC 231","","","23","33",,3,"","",4
33,"MUSC 233","","",,,,1,"","",4
34,"MUSC 261","","",,,,1,"","",4
35,"MUSC 2X2 Applied Study","","",,,,1,"","",4
36,"MUSC 3X1 Band","","",,,,1,"","",4
37,"EDUC 322","","",,,,3,"","",4
38,"Science and Tech with Lab","","",,,,4,"","",4
39,"MUSC 180","","",,,,0,"","",5
40,"MUSC 250","","",,,,2,"","",5
41,"MUSC 340","","","12",,,3,"","",5
42,"MUSC 353","","",,,,2,"","",5
43,"MUSC 357","","",,,,2,"","",5
44,"MUSC 482","","",,,,2,"","",5
45,"MUSC 3X1 Applied Study","","",,,,1,"","",5
46,"MUSC 3X2 Band","","",,,,1,"","",5
47,"EDUC 451","","","37;27",,,3,"","",5
48,"MUSC 341","","","41",,,3,"","",6
49,"MUSC 351","","",,,,2,"","",6
50,"MUSC 354","","",,,,2,"","",6
51,"MUSC 359","","",,,,2,"","",6
52,"MUSC 3X2 Applied Study","","",,,,1,"","",6
53,"MUSC 3X3 Band","","",,,,1,"","",6
54,"MUSC 1X6 Minor Ens","","",,,,1,"","",6
55,"Social and Behavioral Sciences Cultural Diversity Gen Ed","","",,,,3,"","",6
56,"EDUC 486","","","37;27",,,3,"","",6
57,"MUSC 331","","",,,,2,"","",7
58,"MUSC 344","","",,,,2,"","",7
59,"MUSC 349","","",,,,2,"","",7
60,"MUSC 352","","","40;12",,,2,"","",7
61,"MUSC 355","","",,,,2,"","",7
62,"MUSC 385","","",,,,3,"","",7
63,"MUSC 481","","",,,,2,"","",7
64,"MUSC 4X1 Applied Study","","",,,,1,"","",7
65,"MUSC 3X4 Band","","",,,,1,"","",7
66,"MUSC 480","","",,,,1,"","",8
67,"MUSC 3X5 Band","","",,,,1,"","",8
68,"MUSC 483","","",,,,2,"","",8
69,"EDUC 489","","","37;27",,,3,"","",8
70,"Science and Tech Gen Ed","","",,,,3,"","",8
71,"Quantitative Reasoning Gen Ed","","",,,,3,"","",8
72,"ENGL 323","","","20",,,3,"","",8
73,"Wellness Gen Ed","","",,,,2,"","",8
74,"EDUC 485","","","47;56","75",,1,"","",9
75,"EDUC 487","","","37;27;56",,,9,"","",9
76,"EDUC 488","","",,"75;74",,3,"","",9
