Curriculum,Psychology,,,,,,,,,
Degree Plan,4-Year Plan,,,,,,,,,
Institution,North Dakota State,,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,26.0101,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,ENGL 110,,,,,,4,,,1
2,MATH 103,,,,,,3,,,1
3,PSYC 111,,,,,,3,,,1
4,Science and Tech Gen Ed,,,,,,3,,,1
5,Social and Behavioral Sciences Gen Ed,,,,,,3,,,1
6,PSYC 189,,,,,,1,,,1
7,ENGL 120,,,1,,,3,,,2
8,PSYC 2X1,,,,,,3,,,2
9,Science and Tech Gen Ed with Lab,,,,,,4,,,2
10,Humanities Fine Arts Gen Ed,,,,,,3,,,2
11,Social and Behavioral Sciences Global Perspective Gen Ed,,,,,,3,,,2
12,STAT 330,,,2,,,3,,,3
13,PSYC 2X2,,,,,,3,,,3
14,PSYC 350,,,2;3,,,3,,,3
15,Science and Tech Gen Ed,,,,,,3,,,3
16,Wellness Gen Ed,,,,,,2,,,3
17,PSYC 351,,,14,,,3,,,4
18,COMM 110,,,,,,3,,,4
19,Humanities Fine Arts Cultural Diversity Gen Ed,,,,,,3,,,4
20,Supporting track or minor,,,,,,3,,,4
21,Elective,,,,,,3,,,4
22,Elective,,,,,,3,,,5
23,PSYC Elective,,,,,,3,,,5
24,Supporting track or minor,,,,,,3,,,5
25,Supporting track or minor,,,,,,3,,,5
26,ENGL 324,,,7,,,3,,,5
27,PSYC 4X1,,,,,,3,,,6
28,PSYC 4X2,,,,,,3,,,6
29,Supporting track or minor,,,,,,3,,,6
30,Supporting track or minor,,,,,,3,,,6
31,Elective,,,,,,3,,,6
32,PSYC 4X3,,,,,,3,,,7
33,PSYC 4X4,,,,,,3,,,7
34,Supporting track or minor,,,,,,3,,,7
35,Elective,,,,,,3,,,7
36,Elective,,,,,,3,,,7
37,PSYC 4X5,,,,,,3,,,8
38,PSYC 480,,,17,,,3,,,8
39,Supporting track or minor,,,,,,3,,,8
40,Elective,,,,,,4,,,8
