Curriculum,"Curriculum",,,,,,,,,
Degree Plan,"mechanical-engineering.csv",,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"26.0101",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,"ENGR 1111","","",,,,1,"","",1
2,"CHEM 1414","","",,,,4,"","",1
3,"ENGR 1332","","",,,,2,"","",1
4,"MATH 2144","","",,,,4,"","",1
5,"ENGL 1113","","",,,,3,"","",1
6,"Social and Behavioral Sciences","","",,,,3,"","",1
7,"ENGR 1412","","",,,,2,"","",2
8,"HIST 1103","","",,,,3,"","",2
9,"PHYS 2014","","","4",,,4,"","",2
10,"MATH 2153","","","4",,,3,"","",2
11,"ENGL 1213","","","5",,,3,"","",2
12,"ENSC 2113","","","4;9",,,3,"","",3
13,"ENSC 2213","","","4;9;2",,,3,"","",3
14,"PHYS 2114","","","9",,,4,"","",3
15,"MATH 2163","","","10",,,3,"","",3
16,"MATH 2233","","","10",,,3,"","",3
17,"ENSC 2123","","","12",,,3,"","",4
18,"ENSC 2143","","","12",,,3,"","",4
19,"ENSC 3233","","","10;12",,,3,"","",4
20,"ENSC 2613","","","14;10",,,3,"","",4
21,"POLS 1113","","",,,,3,"","",4
22,"Social and Behavioral Sciences and International Dimension","","",,,,3,"","",4
23,"MAE 3233","","","19",,,3,"","",5
24,"MAE 3013","","","14;16",,,3,"","",5
25,"IEM 3503","","","10",,,3,"","",5
26,"ENSC 3313","","","2",,,3,"","",5
27,"MAE 3524","","","13","23",,4,"","",5
28,"MAE 3113","","","20;17;24",,,3,"","",6
29,"MAE 3724","","","20;17;24",,,4,"","",6
30,"MAE 3324","","","26;12;18",,,4,"","",6
31,"MAE 3403","","","7;24",,,3,"","",6
32,"Upper Division MAE Category 1","","",,,,3,"","",7
33,"MAE Electives","","",,,,3,"","",7
34,"Technical Electives","","",,,,3,"","",7
35,"Basic Science","","",,,,3,"","",7
36,"Upper Division MAE Category 2","","","29;27;28;30",,,4,"","",8
37,"MAE Electives","","",,,,3,"","",8
38,"Humanities","","",,,,3,"","",8
39,"Humanities & Diversity","","",,,,3,"","",8
