Curriculum,"Curriculum",,,,,,,,,
Degree Plan,"animal-science-science.csv",,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"26.0101",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,"AS 101-101L","","",,,,4,"","",1
2,"AS 119","","",,"3",,1,"","",1
3,"AS 120 or VET 120","","",,,,1,"","",1
4,"BIOL 151-151L","","",,,,4,"","",1
5,"CHEM 112-112L","","",,,,4,"","",1
6,"SPCM 101","","",,,,3,"","",1
7,"BIOL 153-153L","","","4",,,4,"","",2
8,"CHEM 114-114L","","","5",,,4,"","",2
9,"ENGL 101","","",,,,3,"","",2
10,"MATH 121-121L or MATH 123","","",,,,5,"","",2
11,"AS 219","","","1",,,3,"","",3
12,"CHEM 326-326L","","","8",,,4,"","",3
13,"ECON 201","","",,,,3,"","",3
14,"ENGL 201","","","9",,,3,"","",3
15,"SGR #4","","",,,,3,"","",3
16,"ABS 203","","",,,,3,"","",4
17,"CHEM 328-328L ","","","12",,,4,"","",4
18,"SGR #4","","",,,,3,"","",4
19,"VET 223-223L","","","12",,,4,"","",4
20,"AS 241-241L","","",,,,3,"","",5
21,"AS 333-333L","","","19",,,3,"","",5
22,"CHEM 464","","",,,,3,"","",5
23,"General Electives","","",,,,3,"","",5
24,"MICR 231-231L or MICR 233-233L","","","4;5",,,4,"","",5
25,"AS 319-319L","","","11",,,3,"","",6
26,"AS 332","","","7;1",,,4,"","",6
27,"AS 389","","",,,,3,"","",6
28,"Experiential Learning","","",,,,1,"","",6
29,"VET 403","","",,,,3,"","",6
30,"ACCT 210","","",,,,3,"","",7
31,"AS Capstone Course","","","26;25;21;20",,,3,"","",7
32,"General Electives","","",,,,2,"","",7
33,"PHYS 111-111L or PHYS 211-211L","","","10",,,4,"","",7
34,"STAT 281 or NRM 282-282L","","","10",,,3,"","",7
35,"AS Capstone Course","","","26;25;21;20",,,3,"","",8
36,"General Electives","","",,,,5,"","",8
37,"PHYS 113-113L or PHYS 213-213L","","","33",,,4,"","",8
