Curriculum,Music Education,,,,,,,,,
Degree Plan,4-Year Plan,,,,,,,,,
Institution,South Dakota State,,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,26.0101,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,EDFN 101,,,,,,1,,,1
2,ENGL 101,,,,,,3,,,1
3,MUAP 115 or  MUAP 116,,,,,,1,,,1
4,MUAP 1XX,,,,,,1,,,1
5,MUEN 1XX,,,,,,1,,,1
6,MUS 110,,,,7,,4,,,1
7,MUS 110L,,,,,,0,,,1
8,MUS 119,,,,,,2,,,1
9,MUS 185,,,,,,0,,,1
10,PSYC 101 or SOC 100,,,,,,3,,,1
11,MUAP 1XX,,,,,,1,,,2
12,MUEN 1XX,,,,,,1,,,2
13,MUEN 1XX,,,,,,1,,,2
14,MUS 111,,,6,15,,4,,,2
15,MUS 111L,,,,,,0,,,2
16,MUS 185,,,,,,0,,,2
17,MUS 271 or MUS 371,,,,,,1,,,2
18,SGR #3,,,,,,3,,,2
19,SGR #5,,,,,,3,,,2
20,SPCM 101,,,,,,3,,,2
21,ENGL 201,,,2,,,3,,,3
22,MUAP 2XX,,,,,,1,,,3
23,MUEN 1XX,,,,,,1,,,3
24,MUS 130,,,,,,2,,,3
25,MUS 185,,,,,,0,,,3
26,MUS 210,,,14,27,,4,,,3
27,MUS 210L,,,,,,0,,,3
28,MUS 270 or MUS 370,,,,,,1,,,3
29,MUS 360,,,14,30,,2,,,3
30,MUS 360L,,,,,,0,,,3
31,MUAP 2XX,,,,,,1,,,4
32,MUEN 1XX,,,,,,1,,,4
33,MUS 131,,,24,,,3,,,4
34,MUS 185,,,,,,0,,,4
35,MUS 211,,,26,36,,4,,,4
36,MUS 211L,,,,,,0,,,4
37,MUS 271 or MUS 371,,,,,,1,,,4
38,MUS 361,,,29,39,,2,,,4
39,MUS 361L,,,,,,0,,,4
40,SGR #4,,,,,,3,,,4
41,EDFN 351,,,,42,,1,,,5
42,EDFN 475,,,,,,3,,,5
43,MUAP 3XX,,,,,,2,,,5
44,MUEN 3XX,,,,,,1,,,5
45,MUS 185,,,,,,0,,,5
46,MUS 270 or MUS 370,,,,,,1,,,5
47,MUS 351,,,,48,,2,,,5
48,MUS 351L,,,,,,0,,,5
49,MUS 420,,,,,,3,,,5
50,SGR #6,,,,,,3,,,5
51,AIS 211,,,,,,3,,,6
52,EDFN 352,,,41,,,3,,,6
53,MUAP 3XX,,,,,,2,,,6
54,MUEN 3XX,,,,,,1,,,6
55,MUS 185,,,,,,0,,,6
56,MUS 271 or MUS 371,,,,,,2,,,6
57,MUS 313,,,,,,3,,,6
58,MUS 362,,,,59,,2,,,6
59,MUS 362L,,,,,,0,,,6
60,MUS 365,,,,61,,2,,,6
61,MUS 365L,,,,,,0,,,6
62,MUS 355,,,,,,2,,,7
63,EDFN 453,,,52,,,5,,,8
64,MUAP 483,,,,65,,0,,,8
65,MUAP 4XX,,,,,,2,,,8
66,MUEN 3XX,,,,,,1,,,8
67,MUS 185,,,,,,0,,,8
68,MUS 433,,,33;24,,,3,,,8
69,SEED 450 ,,,,,,2,,,8
70,SGR #6,,,,,,3,,,8
71,EDFN 454,,,63,,,11,,,9
72,SEED 456,,,,71,,1,,,9
