Curriculum,"Curriculum",,,,,,,,,
Degree Plan,"animal-vet-science-business.csv",,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"26.0101",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,"AVS 109","","",,,,4,"","",1
2,"COMM 101","","",,,,2,"","",1
3,"ENGL 101","","",,,,3,"","",1
4,"ISEM 101","","",,,,3,"","",1
5,"MATH 143","","",,,,3,"","",1
6,"AVS 110","","","1",,,3,"","",2
7,"AVS 110L","","","1","6",,1,"","",2
8,"BIOL 115","","",,"10;11",,3,"","",2
9,"BIOL 115L","","",,"8",,1,"","",2
10,"CHEM 101","","",,,,3,"","",2
11,"CHEM 101L","","",,"10",,1,"","",2
12,"ENGL 102","","","3",,,3,"","",2
13,"ACCT 201","","",,,,3,"","",3
14,"AGEC 278","","",,,,4,"","",3
15,"AVS 305","","","1",,,3,"","",3
16,"ECON 202","","",,,,3,"","",3
17,"STAT 251","","","5",,,3,"","",3
18,"ACCT 202","","","13",,,3,"","",4
19,"AGEC 289","","",,,,3,"","",4
20,"AVS 222","","",,,,3,"","",4
21,"CHEM 275","","","10;11",,,3,"","",4
22,"ECON 201","","",,,,3,"","",4
23,"AVS 330","","","1",,,4,"","",5
24,"AVS 371","","","9;8",,,3,"","",5
25,"AVS 373","","","9;8;1",,,1,"","",5
26,"BLAW 265","","",,,,3,"","",5
27,"HUMANITIES GEN ED","","",,,,3,"","",5
28,"ISEM 301","","","12",,,1,"","",5
29,"AGEC 301","","","16;5",,,3,"","",6
30,"AVS 306","","",,,,4,"","",6
31,"AVS 363","","",,,,4,"","",6
32,"ENGL 313","","","12",,,3,"","",6
33,"INTERNATIONAL GEN ED","","",,,,3,"","",6
34,"AGEC UPPER DIVISION COURSE","","",,,,3,"","",7
35,"AVS 466","","","24;15;20",,,3,"","",7
36,"AVS ELECTIVE","","",,,,3,"","",7
37,"HUMANITIES GEN ED","","",,,,3,"","",7
38,"SOCIAL SCIENCE COURSE","","",,,,3,"","",7
39,"AGEC UPPER DIVISION COURSE","","",,,,3,"","",8
40,"AMERICAN DIVERSITY GEN ED","","",,,,3,"","",8
41,"AVS 450","","",,,,2,"","",8
42,"AVS 474","","","1",,,3,"","",8
43,"BUSINESS ELECTIVE","","",,,,3,"","",8
