Curriculum,"Curriculum",,,,,,,,,
Degree Plan,"mechanical-engineering.csv",,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"26.0101",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,"ENGL 102","","",,,,3,"","",1
2,"MATH 170","","",,,,4,"","",1
3,"ME 123","","",,"2",,3,"","",1
4,"COMM 101","","",,,,2,"","",1
5,"ISEM 101","","",,,,3,"","",1
6,"MATH 175","","","2",,,4,"","",2
7,"PHYS 211","","","2",,,3,"","",2
8,"PHYS 211L","","",,"7",,1,"","",2
9,"CHEM 111","","","2",,,3,"","",2
10,"CHEM 111L","","",,"9",,1,"","",2
11,"ENGR 210","","","2",,,3,"","",2
12,"HUMANITIES","","",,,,3,"","",2
13,"MATH 310","","","6",,,3,"","",3
14,"MSE 201","","","9;10",,,3,"","",3
15,"PHYS 212","","","7;8","6",,3,"","",3
16,"PHYS 212L","","",,"15",,1,"","",3
17,"ME 223","","","3","6",,3,"","",3
18,"ENGR 350","","","11;6","13",,3,"","",3
19,"MATH 275","","","6",,,3,"","",4
20,"MATH 330","","","2",,,3,"","",4
21,"ENGR 220","","","11",,,3,"","",4
22,"ENGR 240","","","7;8;6",,,3,"","",4
23,"ME 301","","","17",,,3,"","",4
24,"ISEM 301","","","1",,,1,"","",4
25,"ME 341","","","23","14",,3,"","",5
26,"ME 313","","","13;17;21;22","20",,3,"","",5
27,"ENGR 335","","","19;11",,,3,"","",5
28,"ME 322","","","7;9;10;8",,,3,"","",5
29,"ECON CLASS","","",,,,3,"","",5
30,"TECHNICAL ELECTIVE","","",,,,3,"","",5
31,"ME 325","","","25;14",,,3,"","",6
32,"ME 345","","","13;28","27",,3,"","",6
33,"ME 330","","","22",,,3,"","",6
34,"PHIL 103","","",,,,3,"","",6
35,"UPPER DIVISION ME TECHNICAL ELECTIVE","","",,,,3,"","",6
36,"TECHNICAL ELECTIVE","","",,,,3,"","",6
37,"ME 424","","","23;26;31;32;33",,,3,"","",7
38,"ME 430","","","26;33",,,3,"","",7
39,"ME 435","","","32",,,3,"","",7
40,"ENGL 317","","","1",,,3,"","",7
41,"SOCIAL SCIENCE ","","",,,,3,"","",7
42,"ME 426","","","37",,,3,"","",8
43,"ME 416","","",,,,1,"","",8
44,"UPPER DIVISION ME TECHNICAL ELECTIVE","","",,,,3,"","",8
45,"TECHNICAL ELECTIVE","","",,,,3,"","",8
46,"AMERICAN DIVERSITY","","",,,,3,"","",8
