Curriculum,"Curriculum",,,,,,,,,
Degree Plan,"music-education-vocal.csv",,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"26.0101",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,"ENGL 101","","",,,,3,"","",1
2,"ISEM 101","","",,,,3,"","",1
3,"MATH 123","","",,,,3,"","",1
4,"MUSA 115","","",,,,2,"","",1
5,"MUSA 119","","",,,,1,"","",1
6,"MUSA 145","","",,,,1,"","",1
7,"MUSC 139","","",,,,2,"","",1
8,"MUSC 141","","",,,,2,"","",1
9,"MUSX 101","","",,,,0,"","",1
10,"MUSX 140","","",,,,0,"","",1
11,"AMERICAN DIVERSITY","","",,,,3,"","",2
12,"ENGL 102","","","1",,,3,"","",2
13,"MUSA 124","","",,,,2,"","",2
14,"MUSA 146","","","6",,,1,"","",2
15,"MUSC 140","","","7",,,2,"","",2
16,"MUSC 142","","","8",,,2,"","",2
17,"MUSH 111","","",,,,3,"","",2
18,"MUST 255","","",,,,1,"","",2
19,"MUSX 140","","",,,,0,"","",2
20,"COMM 101","","",,,,2,"","",3
21,"EDCI 201","","",,,,3,"","",3
22,"INTERNATIONAL GEN ED","","",,,,3,"","",3
23,"MUSA 124","","",,,,2,"","",3
24,"MUSA 245","","","14",,,1,"","",3
25,"MUSA 319","","",,,,1,"","",3
26,"MUSC 239","","","7;15","27",,1,"","",3
27,"MUSC 241","","","16",,,3,"","",3
28,"MUSH 321","","","17",,,3,"","",3
29,"MUSX 140","","",,,,0,"","",3
30,"EDCI 301","","",,,,3,"","",4
31,"ENSEMBLE ELECTIVE","","",,,,1,"","",4
32,"MUSA 124","","",,,,2,"","",4
33,"MUSA 246","","","24",,,1,"","",4
34,"MUSC 240","","","26","35",,1,"","",4
35,"MUSC 242","","","27",,,3,"","",4
36,"MUSH 322","","","17",,,3,"","",4
37,"MUST 253","","",,,,1,"","",4
38,"MUSX 140","","",,,,0,"","",4
39,"PSYC 101","","",,,,3,"","",4
40,"ENSEMBLE ELECTIVE","","",,,,1,"","",5
41,"ISEM 301","","","12",,,1,"","",5
42,"MUSA 324","","",,,,2,"","",5
43,"MUSA 387","","","8",,,2,"","",5
44,"MUSH 323","","","17",,,3,"","",5
45,"MUST 251","","",,,,1,"","",5
46,"MUST 352","","","18",,,1,"","",5
47,"MUST 383","","","16;21",,,3,"","",5
48,"MUSX 140","","",,,,0,"","",5
49,"NATURAL SCIENCE","","",,,,4,"","",5
50,"ENSEMBLE ELECTIVE","","",,,,1,"","",6
51,"MUSA 323","","",,,,1,"","",6
52,"MUSA 324","","",,,,2,"","",6
53,"MUSA 487","","","43",,,2,"","",6
54,"MUSC 328","","","35",,,2,"","",6
55,"MUST 254","","",,,,1,"","",6
56,"MUST 256","","","45",,,1,"","",6
57,"MUST 382","","","47",,,3,"","",6
58,"MUST 386","","","43;47",,,3,"","",6
59,"MUST 465","","","47","51",,2,"","",6
60,"MUSX 140","","",,,,0,"","",6
61,"EDCI 463","","","47",,,3,"","",7
62,"EDSP 300","","",,,,3,"","",7
63,"HUMANITIES","","",,,,3,"","",7
64,"MUSA 319","","",,,,1,"","",7
65,"MUSA 324","","",,,,2,"","",7
66,"MUSA 490","","",,,,0,"","",7
67,"MUST 466","","","16","25;5",,1,"","",7
68,"MUSX 140","","",,,,0,"","",7
69,"NATURAL SCIENCE","","",,,,4,"","",7
70,"MUST 432","","",,,,11,"","",8
71,"MUST 445","","",,,,1,"","",8
