Curriculum,"Curriculum",,,,,,,,,
Degree Plan,"animal-science.csv",,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"26.0101",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,"ENG 101","","",,,,3,"","",1
2,"MATH 126","","",,,,3,"","",1
3,"AGSC 100","","",,,,3,"","",1
4,"ECON 102","","",,"2",,3,"","",1
5,"Fine Arts","","",,,,3,"","",1
6,"CHEM 121A","","","2","7;9",,3,"","",2
7,"CHEM 121L","","","2","9",,1,"","",2
8,"ENG 102","","","1",,,3,"","",2
9,"MATH 127","","","2",,,3,"","",2
10,"Elective","","",,,,3,"","",2
11,"AGSC 211","","",,,,3,"","",2
12,"APST 207","","","2",,,3,"","",3
13,"BIOL 190","","","7;6",,,3,"","",3
14,"CHEM 122A","","","7;9;6","15",,3,"","",3
15,"CHEM 122L","","","7;9;6",,,1,"","",3
16,"CH 201","","","1",,,3,"","",3
17,"CH 203","","",,,,3,"","",3
18,"AGSC 206","","","7;14;3;15;6",,,3,"","",4
19,"BIOL 191","","","13",,,3,"","",4
20,"BIOL 192","","","13","19",,2,"","",4
21,"NRES 241","","","3",,,3,"","",4
22,"AGSC 211","","","13;14;15","19",,3,"","",4
23,"AGSC 250","","",,,,3,"","",5
24,"AGSC 416","","",,,,3,"","",5
25,"NUTR 325","","",,,,3,"","",5
26,"CHEM 220A","","","7;6",,,3,"","",5
27,"CHEM 220L","","",,"26",,1,"","",5
28,"Elective","","",,,,3,"","",5
29,"AGSC 325","","","19",,,3,"","",6
30,"AGSC 425","","","3;18",,,4,"","",6
31,"BCH 400","","","26;13",,,4,"","",6
32,"VM 328","","","13;19",,,4,"","",6
33,"AGSC 310","","",,"32",,3,"","",7
34,"AGSC 406","","","26;18",,,4,"","",7
35,"AGSC 415","","","16;8",,,3,"","",7
36,"Elective","","",,,,6,"","",7
37,"AGSC 410","","","32;3",,,3,"","",8
38,"VM 475","","","19",,,3,"","",8
39,"Electives","","",,,,6,"","",8
