Curriculum,"Curriculum",,,,,,,,,
Degree Plan,"animal-science-animal-biology.csv",,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"26.0101",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,"FYS","","",,,,3,"","",1
2,"ANSC1010","","",,,,4,"","",1
3,"MATH1400","","",,,,3,"","",1
4,"LIFE1010","","",,,,4,"","",1
5,"USP US & Wyoming Constitutions","","",,,,3,"","",2
6,"CHEM1020","","","3",,,4,"","",2
7,"ENGL1010","","",,,,3,"","",2
8,"LIFE2022","","","4",,,4,"","",2
9,"USP Human Culture","","",,,,3,"","",3
10,"CHEM2420","","",,,,4,"","",3
11,"MATH1405","","","3",,,3,"","",3
12,"USP Commnication 2","","",,,,3,"","",3
13,"Elective","","",,,,3,"","",3
14,"Upper Division Elective","","",,,,3,"","",4
15,"CHEM2440","","","10",,,4,"","",4
16,"PHYS1110","","","11",,,4,"","",4
17,"STAT2050","","","3",,,4,"","",4
18,"USP Human Culture","","",,,,3,"","",5
19,"MICR2021","","","4",,,4,"","",5
20,"MOLB3610","","","4;10",,,4,"","",5
21,"PHYS1120","","","16",,,4,"","",5
22,"Elective","","",,,,3,"","",5
23,"ANSC3010","","","4;8",,,4,"","",6
24,"ANSC3100","","","15",,,3,"","",6
25,"MOLB4100","","","20",,,3,"","",6
26,"Elective","","",,,,3,"","",6
27,"Elective","","",,,,3,"","",6
28,"ANSC4120","","","23",,,3,"","",7
29,"FDSC3060","","","4",,,3,"","",7
30,"LIFE3050","","","4;8",,,4,"","",7
31,"PATB4400","","","19",,,4,"","",7
32,"Elective","","",,,,3,"","",7
33,"ANSC4630","","",,,,3,"","",8
34,"ZOO3600","","","4",,,3,"","",8
35,"Upper Division Elective","","",,,,3,"","",8
36,"Upper Division Elective","","",,,,3,"","",8
37,"Elective","","",,,,3,"","",8
