Curriculum,"Curriculum",,,,,,,,,
Degree Plan,"mechanical-engineering.csv",,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"26.0101",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,"MATH2200","","",,,,3,"","",1
2,"CHEM1020","","",,,,3,"","",1
3,"ENGL1010","","",,,,3,"","",1
16,"FYS","","",,,,3,"","",1
17,"USP-V","","",,,,3,"","",1
4,"MATH2205","","","1",,,3,"","",2
5,"ES2110","","",,"4",,3,"","",2
18,"COM 2","","","3",,,3,"","",2
19,"USP-H","","",,,,3,"","",2
20,"M/S ELEC","","",,,,3,"","",2
6,"MATH2210","","","4",,,3,"","",3
7,"ES1060","","","1",,,3,"","",3
8,"ES2120","","","4;5",,,3,"","",3
9,"ES2210","","","4",,,3,"","",3
10,"PHYS1220","","","4;1",,,3,"","",3
11,"MATH2310","","","4",,,3,"","",4
12,"ES2310","","","8;6",,,3,"","",4
13,"ES2330","","","8;6",,,3,"","",4
14,"ES2410","","","4;5",,,3,"","",4
21,"USP-H","","",,,,3,"","",4
22,"SCI ELEC","","",,,,4,"","",4
15,"MESC","","","7;4;9;13;14;11;5;8;12;1",,,33,"","",5
23,"ME3005","","","7;15",,,3,"","",6
24,"ME3060","","","7;15",,,3,"","",6
25,"ME3010","","","14;15",,,3,"","",6
26,"ME3020","","","9;11;15",,,3,"","",6
27,"ME3040","","","2;15;12",,,3,"","",6
28,"M/S ELEC","","",,,,3,"","",6
29,"ME3160","","","23;13;15",,,3,"","",7
30,"ME3170","","","14;15",,,3,"","",7
31,"ME3360","","","13;11;15;12",,,3,"","",7
32,"ME3450","","","15;12",,,3,"","",7
33,"ME4020","","","26;15",,,3,"","",7
34,"ME4060","","","31;15;30","25",,3,"","",8
35,"ME4150","","","32;15",,,3,"","",8
36,"ME ELEC","","","15",,,3,"","",8
37,"ME ELEC","","","15",,,3,"","",8
38,"COM 3","","","18",,,3,"","",8
39,"ME4070","","","34;15",,,3,"","",9
40,"ME ELEC","","","15",,,3,"","",9
41,"ME ELEC","","","15",,,3,"","",9
42,"BUS ELEC","","",,,,3,"","",9
43,"TECH ELEC","","",,,,3,"","",9
