Curriculum,"Curriculum",,,,,,,,,
Degree Plan,"animal-science-animal-dairy.csv",,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"26.0101",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,"ADVS 1110","","",,,,4,"","",1
2,"BIOL 1610","","",,,,3,"","",1
3,"BIOL 1615","","",,,,1,"","",1
4,"ENGL 1010","","",,,,3,"","",1
5,"Math 1050","","",,,,4,"","",1
6,"ADVS 1050","","",,,,1,"","",1
7,"BIOL 1620","","","2",,,3,"","",2
8,"BIOL 1625","","",,,,1,"","",2
9,"APEC 1600","","",,,,3,"","",2
10,"STAT 1040","","","5",,,3,"","",2
11,"Elective 1","","",,,,1,"","",2
12,"ADVS 1100","","",,,,3,"","",2
13,"CHEM 1210","","","5",,,4,"","",3
14,"Chem 1215","","",,,,1,"","",3
15,"ADVS 2080","","","1",,,3,"","",3
16,"Elective 2","","",,,,3,"","",3
17,"Elective 3","","",,,,3,"","",3
18,"Elective 4","","",,,,1,"","",3
19,"ADVS 2200","","","7",,,4,"","",4
20,"APEC 2010","","",,,,3,"","",4
21,"CHEM 1220","","",,,,4,"","",4
22,"CHEM 1225","","",,,,1,"","",4
23,"ENGL 2010","","","4",,,3,"","",4
24,"ADVS 3500","","","19",,,3,"","",5
25,"Elective 5","","",,,,3,"","",5
26,"ACCT 2010","","",,,,3,"","",5
27,"ADVS 2500","","",,,,3,"","",5
28,"ADVS 3520","","",,,,3,"","",5
29,"ADVS 3000","","","19",,,3,"","",6
30,"ADVS 3650","","",,,,3,"","",6
31,"ADVS 5030","","","1",,,3,"","",6
32,"NDFS 4040","","",,,,3,"","",6
33,"HDFS 3350","","",,,,3,"","",6
34,"ADVS 4200","","","19",,,4,"","",7
35,"ADVS 4250","","",,,,5,"","",7
36,"ADVS 4560","","","7",,,3,"","",7
37,"ADVS 4920","","",,,,2,"","",7
38,"Elective 6","","",,,,3,"","",7
39,"ADVS 5080","","","36",,,3,"","",8
40,"ADVS 4210","","","34",,,2,"","",8
41,"ADVS 4220","","","34",,,3,"","",8
42,"PHIL 3990","","",,,,3,"","",8
43,"Elective 7","","",,,,3,"","",8
