Curriculum,"Curriculum",,,,,,,,,
Degree Plan,"animal-science-equine.csv",,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"26.0101",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,"ADVS 1110","","",,,,4,"","",1
2,"BIOL 1610","","",,,,3,"","",1
3,"BIOL 1615","","",,,,1,"","",1
4,"ENGL 1010","","",,,,3,"","",1
5,"MATH 1050","","",,,,4,"","",1
6,"ADVS 1050","","",,,,1,"","",1
7,"ADVS 1600","","",,,,3,"","",2
8,"ADVS 2190","","",,,,3,"","",2
9,"BIOL 1620","","","2",,,3,"","",2
10,"BIOL 1625","","",,,,1,"","",2
11,"STAT 1040","","",,,,3,"","",2
12,"Elective 1","","",,,,2,"","",2
13,"ADVS 2300","","","8",,,2,"","",3
14,"CHEM 1210","","",,,,4,"","",3
15,"CHEM 1215","","",,,,1,"","",3
16,"APEC 1600","","",,,,3,"","",3
17,"LAEP 1030","","",,,,3,"","",3
18,"Elective 2","","",,,,2,"","",3
19,"ADVS 2200","","","9",,,4,"","",4
20,"APEC 2010","","",,,,3,"","",4
21,"CHEM 1220","","","14",,,4,"","",4
22,"CHEM 1225","","",,,,1,"","",4
23,"Engl 2010","","","4",,,3,"","",4
24,"ADVS 2500","","",,,,3,"","",5
25,"MGT 3530","","",,,,3,"","",5
26,"ADVS 3520","","",,,,3,"","",5
27,"ENGL 2240","","",,,,3,"","",5
28,"APEC 3012","","",,,,3,"","",5
29,"ADVS 3000","","","19",,,3,"","",6
30,"ADVS 3100","","",,,,3,"","",6
31,"ASTE 2830","","",,,,3,"","",6
32,"Elective 3","","",,,,3,"","",6
33,"Elective 4","","",,,,3,"","",6
34,"ADVS 4200","","","19",,,4,"","",7
35,"ADVS 4270","","",,,,4,"","",7
36,"ADVS 4560","","","9",,,3,"","",7
37,"ADVS 4920","","",,,,2,"","",7
38,"ADVS 5190","","",,,,3,"","",7
39,"APEC 3010","","",,,,3,"","",8
40,"MGT 3500","","",,,,3,"","",8
41,"MGT 3110","","",,,,3,"","",8
42,"ENGL 3040","","",,,,3,"","",8
43,"Elective 5","","",,,,3,"","",8
