Curriculum,"Curriculum",,,,,,,,,
Degree Plan,"mechanical-engineering.csv",,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"26.0101",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,"CHEM 1210","","",,,,4,"","",1
2,"CHEM 1215","","",,"1",,1,"","",1
3,"MATH 1210","","",,,,4,"","",1
4,"MAE 1010","","",,"3",,3,"","",1
5,"BAI","","",,,,3,"","",1
6,"MAE 1200","","",,,,2,"","",2
7,"MATH 1220","","",,,,4,"","",2
8,"PHYS 2210","","","3",,,4,"","",2
9,"PHYS 2215","","",,"8",,1,"","",2
10,"BCA","","",,,,3,"","",2
11,"ENGL 2010","","",,,,3,"","",3
12,"ENGR 2010","","","7;8",,,3,"","",3
13,"ENGR 2210","","","7",,,3,"","",3
14,"MATH 2210","","","7",,,3,"","",3
15,"PHYS 2220","","","3;8",,,4,"","",3
16,"PHYS 2225","","",,"15",,1,"","",3
17,"ENGR 2030","","","7;12",,,3,"","",4
18,"ENGR 2140","","","12",,,3,"","",4
19,"MAE 2160","","",,"18;1",,3,"","",4
20,"MAE 2165","","",,"19",,1,"","",4
21,"MAE 2300","","","14",,,3,"","",4
22,"MATH 2250","","","14",,,4,"","",4
23,"CS 1400","","",,,,4,"","",5
24,"ENGR 3080","","","11",,,3,"","",5
25,"MAE 5360","","","17;22",,,3,"","",5
26,"MAE 3040","","","19;22;18",,,3,"","",5
27,"MAE 3600","","",,,,1,"","",5
28,"MAE 3420","","","17;21;22","23",,3,"","",5
29,"MAE 3210","","","23;14;22",,,3,"","",6
30,"MAE 3340","","","13;18",,,3,"","",6
31,"MAE 3440","","","28;21",,,3,"","",6
32,"MAE 4300","","","26",,,3,"","",6
33,"BLS","","",,,,3,"","",6
34,"MAE 4400","","","31;30",,,2,"","",7
35,"MAE 4800","","","31;32",,,3,"","",7
36,"MAE Elective","","",,,,3,"","",7
37,"MAE Elective","","",,,,3,"","",7
38,"BHU","","",,,,3,"","",7
39,"BSS","","",,,,3,"","",7
40,"MAE 4810","","","35",,,3,"","",8
41,"MAE Elective","","",,,,3,"","",8
42,"MAE Elective","","",,,,3,"","",8
43,"DHA","","",,,,3,"","",8
44,"DSS","","",,,,3,"","",8
