Curriculum,"Curriculum",,,,,,,,,
Degree Plan,"music-education.csv",,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"26.0101",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,"Engl 1010","","",,,,3,"","",1
2,"MUSC 1105","","",,,,3,"","",1
3,"MUSC 1170","","",,,,1,"","",1
4,"MUSC 1500","","",,,,1,"","",1
5,"MUSC 2180","","",,,,1,"","",1
6,"MUSC 4600","","",,,,1,"","",1
7,"MUSC 1635","","",,,,1,"","",1
8,"BPS","","",,,,3,"","",1
9,"MUSC 1800","","",,,,1,"","",1
10,"ENGL 2010","","",,,,3,"","",2
11,"MUSC 1110","","","2",,,3,"","",2
12,"MUSC 1130","","","2",,,1,"","",2
13,"MUSC 1180","","","3",,,1,"","",2
14,"MUSC 1190","","",,,,3,"","",2
15,"MUSC 4600","","",,,,1,"","",2
16,"MUSC 1635","","",,,,1,"","",2
17,"BLS","","",,,,3,"","",2
18,"MUSC 1120","","","11",,,3,"","",3
19,"MUSC 1140","","","12",,,1,"","",3
20,"MUSC 4600","","",,,,1,"","",3
21,"MUSC 2700","","",,,,1,"","",3
22,"MUSC 3100","","",,,,3,"","",3
23,"MUSC 3110","","",,,,3,"","",3
24,"MUSC 2645","","","7",,,2,"","",3
25,"MATH","","",,,,4,"","",3
26,"MUSC 2110","","","18",,,3,"","",4
27,"MUSC 2130","","","19",,,1,"","",4
28,"MUSC 2350","","",,,,2,"","",4
29,"MUSC 4600","","",,,,1,"","",4
30,"MUSC 3120","","","23",,,3,"","",4
31,"MUSC 3670","","",,,,2,"","",4
32,"QI","","",,,,3,"","",4
33,"BSS","","",,,,3,"","",4
34,"Elective","","",,,,3,"","",5
35,"MUSC 4600","","",,,,1,"","",5
36,"MUSC 3190","","","30",,,3,"","",5
37,"MUSC 3220","","",,"40",,2,"","",5
38,"MUSC 3630","","",,,,3,"","",5
39,"MUSC 3670","","","24",,,2,"","",5
40,"SCED 3300","","",,,,1,"","",5
41,"DSC","","",,,,3,"","",5
42,"MUSC 4600","","",,,,1,"","",6
43,"MUSC 2800","","",,,,1,"","",6
44,"MUSC 3180","","","26;11;5;18",,,2,"","",6
45,"MUSC 3230","","",,,,2,"","",6
46,"MUSC 3240","","",,"50",,2,"","",6
47,"MUSC 3670","","","24",,,2,"","",6
48,"MUSC 4240","","",,,,2,"","",6
49,"SCED 3210","","",,,,3,"","",6
50,"SCED 4300","","",,,,1,"","",6
51,"BHU","","",,,,3,"","",6
52,"MUSC 4600","","",,,,1,"","",7
53,"MUSC 3630","","",,,,3,"","",7
54,"MUSC 3670","","","24",,,2,"","",7
55,"SPED 4000","","",,,,2,"","",7
56,"SCED 5200","","",,,,3,"","",7
57,"SCED 4210","","",,,,3,"","",7
58,"MUSC 4920","","",,,,2,"","",7
59,"BAI","","",,,,3,"","",7
60,"SCED 5500","","",,,,2,"","",8
61,"SCED 5630","","",,,,10,"","",8
62,"PSY 1100","","",,,,3,"","",8
63,"MUSC 3260","","",,,,2,"","",8
