Curriculum,"Curriculum",,,,,,,,,
Degree Plan,"psychology.csv",,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"26.0101",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,"ENGL 1010","","",,,,3,"","",1
2,"PSY 1010","","",,,,3,"","",1
3,"STAT 1040","","",,,,3,"","",1
4,"BCA","","",,,,3,"","",1
5,"BHU","","",,,,3,"","",1
6,"PSY 1400","","","2",,,3,"","",2
7,"PSY 1410","","",,"6",,1,"","",2
8,"PSY 2010","","",,,,3,"","",2
9,"BLS","","",,,,3,"","",2
10,"BPS","","",,,,3,"","",2
11,"Elective course","","",,,,3,"","",2
12,"ENGL 2010","","","1",,,3,"","",3
13,"PSY 1100","","","2",,,3,"","",3
14,"PSY 3010","","","3",,,4,"","",3
15,"BAI","","",,,,3,"","",3
16,"Elective course","","",,,,3,"","",3
17,"PSY 3210","","",,,,3,"","",4
18,"PSY 2100","","","2",,,3,"","",4
19,"PSY 3460","","","2",,,3,"","",4
20,"Minor course","","",,,,3,"","",4
21,"Elective course","","",,,,3,"","",4
22,"PSY 3500","","",,,,3,"","",5
23,"PSY 4950","","",,,,3,"","",5
24,"PSY 3110","","","2",,,3,"","",5
25,"Minor course","","",,,,3,"","",5
26,"Elective course","","",,,,3,"","",5
27,"PSY 3400","","","6",,,4,"","",6
28,"PSY 4240","","","2",,,3,"","",6
29,"Minor course","","",,,,3,"","",6
30,"Minor course","","",,,,3,"","",6
31,"Elective course","","",,,,3,"","",6
32,"PSY 5330","","",,,,3,"","",7
33,"PSY 4210","","",,,,4,"","",7
34,"Elective course","","",,,,3,"","",7
35,"Elective course","","",,,,3,"","",7
36,"Elective course","","",,,,3,"","",7
37,"Elective course","","",,,,1,"","",8
38,"Elective course","","",,,,3,"","",8
39,"Elective course","","",,,,3,"","",8
40,"Minor course","","",,,,3,"","",8
41,"Minor course","","",,,,3,"","",8
